billing_id,customer_id,subscription_id,billing_month,record_type,seats,seat_price,mrr_amount,plan_code,currency,source_system,created_at
952,CUST-00036,SUB-00036,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
969,CUST-00037,SUB-00037,2023-09,recurring,12,88.0,1056.0,Scale,USD,billing_v1,2023-09-01
1005,CUST-00038,SUB-00038,2023-09,recurring,17,121.0,2057.0,Enterprise,USD,billing_v1,2023-09-01
1041,CUST-00039,SUB-00039,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
1077,CUST-00040,SUB-00040,2023-09,recurring,9,62.0,558.0,Growth,USD,billing_v1,2023-09-01
1085,CUST-00041,SUB-00041,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
1107,CUST-00042,SUB-00042,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
1123,CUST-00043,SUB-00043,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
1159,CUST-00044,SUB-00044,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
1176,CUST-00045,SUB-00045,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
1212,CUST-00046,SUB-00046,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
1248,CUST-00047,SUB-00047,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
1249,CUST-00048,SUB-00048,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
1285,CUST-00049,SUB-00049,2023-09,recurring,9,62.0,558.0,Growth,USD,billing_v1,2023-09-01
1305,CUST-00050,SUB-00050,2023-09,recurring,19,88.0,1672.0,Scale,USD,billing_v1,2023-09-01
1341,CUST-00051,SUB-00051,2023-09,recurring,23,88.0,2024.0,Scale,USD,billing_v1,2023-09-01
1377,CUST-00052,SUB-00052,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
1413,CUST-00053,SUB-00053,2023-09,recurring,27,121.0,3267.0,Enterprise,USD,billing_v1,2023-09-01
1439,CUST-00054,SUB-00054,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
1441,CUST-00055,SUB-00055,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
1477,CUST-00056,SUB-00056,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
1507,CUST-00057,SUB-00057,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
1543,CUST-00058,SUB-00058,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
1559,CUST-00059,SUB-00059,2023-09,recurring,16,88.0,1408.0,Scale,USD,billing_v1,2023-09-01
1595,CUST-00060,SUB-00060,2023-09,recurring,15,88.0,1320.0,Scale,USD,billing_v1,2023-09-01
1607,CUST-00061,SUB-00061,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
1643,CUST-00062,SUB-00062,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
1679,CUST-00063,SUB-00063,2023-09,recurring,35,121.0,4235.0,Enterprise,USD,billing_v1,2023-09-01
1715,CUST-00064,SUB-00064,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
1751,CUST-00065,SUB-00065,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
1787,CUST-00066,SUB-00066,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
1806,CUST-00067,SUB-00067,2023-09,recurring,11,88.0,968.0,Scale,USD,billing_v1,2023-09-01
1842,CUST-00068,SUB-00068,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
1846,CUST-00069,SUB-00069,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
1882,CUST-00070,SUB-00070,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
1885,CUST-00071,SUB-00071,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
1905,CUST-00072,SUB-00072,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
1941,CUST-00073,SUB-00073,2023-09,recurring,24,121.0,2904.0,Enterprise,USD,billing_v1,2023-09-01
1977,CUST-00074,SUB-00074,2023-09,recurring,11,88.0,968.0,Scale,USD,billing_v1,2023-09-01
2013,CUST-00075,SUB-00075,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
2031,CUST-00076,SUB-00076,2023-09,recurring,20,88.0,1760.0,Scale,USD,billing_v1,2023-09-01
2067,CUST-00077,SUB-00077,2023-09,recurring,15,121.0,1815.0,Enterprise,USD,billing_v1,2023-09-01
2103,CUST-00078,SUB-00078,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
2120,CUST-00079,SUB-00079,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
2156,CUST-00080,SUB-00080,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
2192,CUST-00081,SUB-00081,2023-09,recurring,9,62.0,558.0,Growth,USD,billing_v1,2023-09-01
2228,CUST-00082,SUB-00082,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
2257,CUST-00083,SUB-00083,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
2274,CUST-00084,SUB-00084,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
2310,CUST-00085,SUB-00085,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
2346,CUST-00086,SUB-00086,2023-09,recurring,11,88.0,968.0,Scale,USD,billing_v1,2023-09-01
2382,CUST-00087,SUB-00087,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
2406,CUST-00088,SUB-00088,2023-09,recurring,12,88.0,1056.0,Scale,USD,billing_v1,2023-09-01
2442,CUST-00089,SUB-00089,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
2478,CUST-00090,SUB-00090,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
2494,CUST-00091,SUB-00091,2023-09,recurring,25,121.0,3025.0,Enterprise,USD,billing_v1,2023-09-01
2530,CUST-00092,SUB-00092,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
2556,CUST-00093,SUB-00093,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
2563,CUST-00094,SUB-00094,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
2596,CUST-00095,SUB-00095,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
2632,CUST-00096,SUB-00096,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
2668,CUST-00097,SUB-00097,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
2685,CUST-00098,SUB-00098,2023-09,recurring,11,88.0,968.0,Scale,USD,billing_v1,2023-09-01
2721,CUST-00099,SUB-00099,2023-09,recurring,36,121.0,4356.0,Enterprise,USD,billing_v1,2023-09-01
2757,CUST-00100,SUB-00100,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
2793,CUST-00101,SUB-00101,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
2829,CUST-00102,SUB-00102,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
2865,CUST-00103,SUB-00103,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
2901,CUST-00104,SUB-00104,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
2937,CUST-00105,SUB-00105,2023-09,recurring,11,88.0,968.0,Scale,USD,billing_v1,2023-09-01
2973,CUST-00106,SUB-00106,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
2985,CUST-00107,SUB-00107,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
3021,CUST-00108,SUB-00108,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
3032,CUST-00109,SUB-00109,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
3068,CUST-00110,SUB-00110,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
3074,CUST-00111,SUB-00111,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
3081,CUST-00112,SUB-00112,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
3109,CUST-00113,SUB-00113,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
3145,CUST-00114,SUB-00114,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
3181,CUST-00115,SUB-00115,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
3217,CUST-00116,SUB-00116,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
3253,CUST-00117,SUB-00117,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
3289,CUST-00118,SUB-00118,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
3325,CUST-00119,SUB-00119,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
3361,CUST-00120,SUB-00120,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
3381,CUST-00121,SUB-00121,2023-09,recurring,15,121.0,1815.0,Enterprise,USD,billing_v1,2023-09-01
3417,CUST-00122,SUB-00122,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
3453,CUST-00123,SUB-00123,2023-09,recurring,17,88.0,1496.0,Scale,USD,billing_v1,2023-09-01
3489,CUST-00124,SUB-00124,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
3500,CUST-00125,SUB-00125,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
3536,CUST-00126,SUB-00126,2023-09,recurring,9,62.0,558.0,Growth,USD,billing_v1,2023-09-01
3572,CUST-00127,SUB-00127,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
3608,CUST-00128,SUB-00128,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
3644,CUST-00129,SUB-00129,2023-09,recurring,3,39.0,117.0,Starter,USD,billing_v1,2023-09-01
3680,CUST-00130,SUB-00130,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
3716,CUST-00131,SUB-00131,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
3752,CUST-00132,SUB-00132,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
3756,CUST-00133,SUB-00133,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
17124,CUST-00134,SUB-00134,2023-09,credit_memo,0,0.0,-254.18,Growth,USD,billing_v1,2023-11-01
3792,CUST-00134,SUB-00134,2023-09,recurring,9,62.0,558.0,Growth,USD,billing_v1,2023-09-01
3793,CUST-00135,SUB-00135,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
3829,CUST-00136,SUB-00136,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
3865,CUST-00137,SUB-00137,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
3901,CUST-00138,SUB-00138,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
3919,CUST-00139,SUB-00139,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
3952,CUST-00140,SUB-00140,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
3988,CUST-00141,SUB-00141,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
4024,CUST-00142,SUB-00142,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
4047,CUST-00143,SUB-00143,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
4083,CUST-00144,SUB-00144,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
4119,CUST-00145,SUB-00145,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
4129,CUST-00146,SUB-00146,2023-09,recurring,13,88.0,1144.0,Scale,USD,billing_v1,2023-09-01
4165,CUST-00147,SUB-00147,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
4201,CUST-00148,SUB-00148,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
4237,CUST-00149,SUB-00149,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
4273,CUST-00150,SUB-00150,2023-09,recurring,61,121.0,7381.0,Enterprise,USD,billing_v1,2023-09-01
4309,CUST-00151,SUB-00151,2023-09,recurring,23,88.0,2024.0,Scale,USD,billing_v1,2023-09-01
4345,CUST-00152,SUB-00152,2023-09,recurring,3,39.0,117.0,Starter,USD,billing_v1,2023-09-01
4381,CUST-00153,SUB-00153,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
4416,CUST-00154,SUB-00154,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
4431,CUST-00155,SUB-00155,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
4439,CUST-00156,SUB-00156,2023-09,recurring,4,39.0,156.0,Starter,USD,billing_v1,2023-09-01
4468,CUST-00157,SUB-00157,2023-09,recurring,15,88.0,1320.0,Scale,USD,billing_v1,2023-09-01
4504,CUST-00158,SUB-00158,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
4540,CUST-00159,SUB-00159,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
4557,CUST-00160,SUB-00160,2023-09,recurring,14,88.0,1232.0,Scale,USD,billing_v1,2023-09-01
4565,CUST-00161,SUB-00161,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
4601,CUST-00162,SUB-00162,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
4637,CUST-00163,SUB-00163,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
4654,CUST-00164,SUB-00164,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
4690,CUST-00165,SUB-00165,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
4726,CUST-00166,SUB-00166,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
4732,CUST-00167,SUB-00167,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
4749,CUST-00168,SUB-00168,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
4776,CUST-00169,SUB-00169,2023-09,recurring,17,121.0,2057.0,Enterprise,USD,billing_v1,2023-09-01
4812,CUST-00170,SUB-00170,2023-09,recurring,4,39.0,156.0,Starter,USD,billing_v1,2023-09-01
4831,CUST-00171,SUB-00171,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
4867,CUST-00172,SUB-00172,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
4882,CUST-00173,SUB-00173,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
4918,CUST-00174,SUB-00174,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
4953,CUST-00175,SUB-00175,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
4989,CUST-00176,SUB-00176,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
5025,CUST-00177,SUB-00177,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
5032,CUST-00178,SUB-00178,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
5068,CUST-00179,SUB-00179,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
5089,CUST-00180,SUB-00180,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
5125,CUST-00181,SUB-00181,2023-09,recurring,4,39.0,156.0,Starter,USD,billing_v1,2023-09-01
5138,CUST-00182,SUB-00182,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
5174,CUST-00183,SUB-00183,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
5210,CUST-00184,SUB-00184,2023-09,recurring,28,88.0,2464.0,Scale,USD,billing_v1,2023-09-01
5246,CUST-00185,SUB-00185,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
5282,CUST-00186,SUB-00186,2023-09,recurring,15,88.0,1320.0,Scale,USD,billing_v1,2023-09-01
5318,CUST-00187,SUB-00187,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
5340,CUST-00188,SUB-00188,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
5341,CUST-00189,SUB-00189,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
5377,CUST-00190,SUB-00190,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
5413,CUST-00191,SUB-00191,2023-09,recurring,13,88.0,1144.0,Scale,USD,billing_v1,2023-09-01
5449,CUST-00192,SUB-00192,2023-09,recurring,4,39.0,156.0,Starter,USD,billing_v1,2023-09-01
5485,CUST-00193,SUB-00193,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
5521,CUST-00194,SUB-00194,2023-09,recurring,19,88.0,1672.0,Scale,USD,billing_v1,2023-09-01
5554,CUST-00195,SUB-00195,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
5590,CUST-00196,SUB-00196,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
5592,CUST-00197,SUB-00197,2023-09,recurring,22,88.0,1936.0,Scale,USD,billing_v1,2023-09-01
5628,CUST-00198,SUB-00198,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
5639,CUST-00199,SUB-00199,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
5669,CUST-00200,SUB-00200,2023-09,recurring,15,88.0,1320.0,Scale,USD,billing_v1,2023-09-01
5695,CUST-00201,SUB-00201,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
5731,CUST-00202,SUB-00202,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
5751,CUST-00203,SUB-00203,2023-09,recurring,10,62.0,620.0,Growth,USD,billing_v1,2023-09-01
5787,CUST-00204,SUB-00204,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
5823,CUST-00205,SUB-00205,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
5828,CUST-00206,SUB-00206,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
5843,CUST-00207,SUB-00207,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
5879,CUST-00208,SUB-00208,2023-09,recurring,16,88.0,1408.0,Scale,USD,billing_v1,2023-09-01
5915,CUST-00209,SUB-00209,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
5951,CUST-00210,SUB-00210,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
5987,CUST-00211,SUB-00211,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
6023,CUST-00212,SUB-00212,2023-09,recurring,4,39.0,156.0,Starter,USD,billing_v1,2023-09-01
6059,CUST-00213,SUB-00213,2023-09,recurring,21,121.0,2541.0,Enterprise,USD,billing_v1,2023-09-01
6095,CUST-00214,SUB-00214,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
6131,CUST-00215,SUB-00215,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
6167,CUST-00216,SUB-00216,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
6176,CUST-00217,SUB-00217,2023-09,recurring,13,88.0,1144.0,Scale,USD,billing_v1,2023-09-01
6212,CUST-00218,SUB-00218,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
6215,CUST-00219,SUB-00219,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
6251,CUST-00220,SUB-00220,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
6254,CUST-00221,SUB-00221,2023-09,recurring,14,88.0,1232.0,Scale,USD,billing_v1,2023-09-01
6267,CUST-00222,SUB-00222,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
6303,CUST-00223,SUB-00223,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
17165,CUST-00224,SUB-00224,2023-09,credit_memo,0,0.0,-195.22,Scale,USD,billing_v1,2023-11-01
6339,CUST-00224,SUB-00224,2023-09,recurring,14,88.0,1232.0,Scale,USD,billing_v1,2023-09-01
6375,CUST-00225,SUB-00225,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
6385,CUST-00226,SUB-00226,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
6413,CUST-00227,SUB-00227,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
6449,CUST-00228,SUB-00228,2023-09,recurring,13,88.0,1144.0,Scale,USD,billing_v1,2023-09-01
6450,CUST-00229,SUB-00229,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
6462,CUST-00230,SUB-00230,2023-09,recurring,7,39.0,273.0,Starter,USD,billing_v1,2023-09-01
6498,CUST-00231,SUB-00231,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
6534,CUST-00232,SUB-00232,2023-09,recurring,5,39.0,195.0,Starter,USD,billing_v1,2023-09-01
6535,CUST-00233,SUB-00233,2023-09,recurring,19,88.0,1672.0,Scale,USD,billing_v1,2023-09-01
6544,CUST-00234,SUB-00234,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
6576,CUST-00235,SUB-00235,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
6610,CUST-00236,SUB-00236,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
6623,CUST-00237,SUB-00237,2023-09,recurring,12,88.0,1056.0,Scale,USD,billing_v1,2023-09-01
6659,CUST-00238,SUB-00238,2023-09,recurring,9,39.0,351.0,Starter,USD,billing_v1,2023-09-01
6695,CUST-00239,SUB-00239,2023-09,recurring,6,62.0,372.0,Growth,USD,billing_v1,2023-09-01
6698,CUST-00240,SUB-00240,2023-09,recurring,10,88.0,880.0,Scale,USD,billing_v1,2023-09-01
6734,CUST-00241,SUB-00241,2023-09,recurring,9,62.0,558.0,Growth,USD,billing_v1,2023-09-01
6755,CUST-00242,SUB-00242,2023-09,recurring,7,62.0,434.0,Growth,USD,billing_v1,2023-09-01
6767,CUST-00243,SUB-00243,2023-09,recurring,8,62.0,496.0,Growth,USD,billing_v1,2023-09-01
6786,CUST-00244,SUB-00244,2023-09,recurring,8,39.0,312.0,Starter,USD,billing_v1,2023-09-01
6822,CUST-00245,SUB-00245,2023-09,recurring,6,39.0,234.0,Starter,USD,billing_v1,2023-09-01
