month,channel,program_spend,cost_per_lead,leads,sqls
2024-03,inbound_content,10950.0,212.53,51.5,12.4
2024-03,outbound_sdr,6000.0,0.0,33.8,10.1
2024-03,paid_search,21636.36,170.52,126.9,20.3
2024-03,paid_social,8307.69,90.93,91.4,10.5
2024-03,partner,5666.67,633.13,9.0,4.5
2024-04,events,9300.0,1496.3,6.2,1.9
2024-04,inbound_content,11500.0,212.96,54.0,13.0
2024-04,outbound_sdr,6333.33,0.0,37.5,11.2
2024-04,paid_search,22409.09,171.46,130.7,20.9
2024-04,paid_social,8692.31,90.11,96.5,11.1
2024-04,partner,6044.44,635.35,9.5,4.8
2024-05,events,9900.0,1503.03,6.6,2.0
2024-05,inbound_content,12050.0,213.38,56.5,13.6
2024-05,outbound_sdr,6666.67,0.0,37.5,11.2
2024-05,paid_search,23181.82,172.4,134.5,21.5
2024-05,paid_social,9076.92,89.3,101.6,11.7
2024-05,partner,6422.22,637.57,10.1,5.0
2024-06,events,10500.0,1509.79,7.0,2.2
2024-06,inbound_content,12600.0,213.81,58.9,14.1
2024-06,outbound_sdr,7000.0,0.0,37.5,11.2
2024-06,paid_search,23954.55,173.35,138.2,22.1
2024-06,paid_social,9461.54,88.5,106.9,12.3
2024-06,partner,6800.0,639.81,10.6,5.3
2024-07,events,11100.0,1516.59,7.3,2.3
2024-07,inbound_content,13150.0,214.24,61.4,14.7
2024-07,outbound_sdr,7333.33,0.0,37.5,11.2
2024-07,paid_search,24727.27,174.3,141.9,22.7
2024-07,paid_social,9846.15,87.7,112.3,12.9
2024-07,partner,7177.78,642.04,11.2,5.6
2024-08,events,11700.0,1523.41,7.7,2.4
2024-08,inbound_content,13700.0,214.67,63.8,15.3
2024-08,outbound_sdr,7666.67,0.0,37.5,11.2
2024-08,paid_search,25500.0,175.26,145.5,23.3
2024-08,paid_social,10230.77,86.91,117.7,13.5
2024-08,partner,7555.56,644.29,11.7,5.9
2024-09,events,12300.0,1530.27,8.0,2.5
2024-09,inbound_content,14250.0,215.1,66.2,15.9
2024-09,outbound_sdr,8000.0,0.0,41.9,12.6
2024-09,paid_search,26491.67,176.23,150.3,24.1
2024-09,paid_social,10615.38,86.13,123.2,14.2
2024-09,partner,7933.33,646.55,12.3,6.1
2024-10,events,12900.0,1537.15,8.4,2.6
2024-10,inbound_content,14800.0,215.53,68.7,16.5
2024-10,outbound_sdr,8333.33,0.0,46.2,13.9
2024-10,paid_search,27483.33,177.19,155.1,24.8
2024-10,paid_social,11000.0,85.35,128.9,14.8
2024-10,partner,8311.11,648.81,12.8,6.4
2024-11,events,13500.0,1544.07,8.7,2.7
2024-11,inbound_content,15350.0,215.96,71.1,17.1
2024-11,outbound_sdr,8666.67,0.0,50.0,15.0
2024-11,paid_search,28475.0,178.17,159.8,25.6
2024-11,paid_social,18000.0,84.59,212.8,21.3
2024-11,partner,8688.89,651.08,13.3,6.7
2024-12,events,14100.0,1551.02,9.1,2.8
2024-12,inbound_content,15900.0,216.39,73.5,17.6
2024-12,outbound_sdr,9000.0,0.0,50.0,15.0
2024-12,paid_search,29466.67,179.15,164.5,26.3
2024-12,paid_social,21200.0,83.83,252.9,21.5
2024-12,partner,9066.67,653.36,13.9,6.9
2025-01,events,14700.0,1558.0,9.4,2.9
2025-01,inbound_content,16450.0,216.82,75.9,18.2
2025-01,outbound_sdr,9333.33,0.0,50.0,15.0
2025-01,paid_search,30458.33,180.13,169.1,27.1
2025-01,paid_social,24400.0,83.07,293.7,20.6
2025-01,partner,9444.44,655.65,14.4,7.2
2025-02,events,15300.0,1565.01,9.8,3.0
2025-02,inbound_content,17000.0,217.26,78.2,18.8
2025-02,outbound_sdr,9666.67,0.0,50.0,15.0
2025-02,paid_search,31450.0,181.13,173.6,27.8
2025-02,paid_social,27600.0,82.32,335.3,18.5
2025-02,partner,9822.22,657.94,14.9,7.5
2025-03,events,16008.33,1572.05,10.2,3.2
2025-03,inbound_content,17661.11,217.69,81.1,19.5
2025-03,outbound_sdr,10000.0,0.0,50.0,15.0
2025-03,paid_search,32441.67,182.12,178.1,28.5
2025-03,paid_social,30800.0,81.58,377.5,20.8
2025-03,partner,10200.0,660.24,15.4,7.7
2025-04,events,16716.67,1579.13,10.6,3.3
2025-04,inbound_content,18322.22,218.13,84.0,20.2
2025-04,outbound_sdr,10333.33,0.0,50.4,15.1
2025-04,paid_search,33433.33,183.12,182.6,29.2
2025-04,paid_social,34000.0,80.85,420.5,23.2
2025-04,partner,10800.0,662.55,16.3,8.2
2025-05,events,17425.0,1586.23,11.0,3.4
2025-05,inbound_content,18983.33,218.56,86.9,20.8
2025-05,outbound_sdr,10666.67,0.0,54.5,16.3
2025-05,paid_search,34425.0,184.13,187.0,29.9
2025-05,paid_social,37000.0,80.12,461.8,25.5
2025-05,partner,11400.0,664.87,17.1,8.6
2025-06,events,18133.33,1593.37,11.4,3.5
2025-06,inbound_content,19644.44,219.0,89.7,21.5
2025-06,outbound_sdr,11000.0,0.0,57.9,17.4
2025-06,paid_search,35416.67,185.14,191.3,30.6
2025-06,paid_social,40000.0,79.4,503.8,27.8
2025-06,partner,12000.0,667.2,18.0,9.0
2025-07,events,18841.67,1600.54,11.8,3.6
2025-07,inbound_content,20305.56,219.44,92.5,22.2
2025-07,outbound_sdr,11333.33,0.0,58.3,17.5
2025-07,paid_search,36408.33,186.16,195.6,31.3
2025-07,paid_social,43000.0,78.68,546.5,30.2
2025-07,partner,12600.0,669.54,18.8,9.4
2025-08,events,19550.0,1607.74,12.2,3.8
2025-08,inbound_content,20966.67,219.88,95.4,22.9
2025-08,outbound_sdr,11666.67,0.0,63.2,19.0
2025-08,paid_search,37400.0,187.19,199.8,32.0
2025-08,paid_social,46000.0,77.98,589.9,32.6
2025-08,partner,13200.0,671.88,19.6,9.8
2025-09,events,20258.33,1614.98,12.5,3.9
2025-09,inbound_content,21627.78,220.32,98.2,23.6
2025-09,outbound_sdr,12000.0,0.0,73.5,22.1
2025-09,paid_search,38533.33,188.21,204.7,32.8
2025-09,paid_social,49000.0,77.27,634.1,35.0
2025-09,partner,13800.0,674.23,20.5,10.2
2025-10,events,20966.67,1622.25,12.9,4.0
2025-10,inbound_content,22288.89,220.76,101.0,24.2
2025-10,outbound_sdr,12636.36,0.0,82.5,24.8
2025-10,paid_search,39666.67,189.25,209.6,33.5
2025-10,paid_social,52000.0,76.58,679.0,37.5
2025-10,partner,14400.0,676.59,21.3,10.6
2025-11,events,21675.0,1629.55,13.3,4.1
2025-11,inbound_content,22950.0,221.2,103.8,24.9
2025-11,outbound_sdr,13272.73,0.0,85.4,25.6
2025-11,paid_search,40800.0,190.29,214.4,34.3
2025-11,paid_social,55000.0,75.89,724.7,40.0
2025-11,partner,15000.0,678.96,22.1,11.0
2025-12,events,22383.33,1636.88,13.7,4.2
2025-12,inbound_content,23611.11,221.64,106.5,25.6
2025-12,outbound_sdr,13909.09,0.0,85.4,25.6
2025-12,paid_search,41933.33,191.34,219.2,35.1
2025-12,paid_social,58000.0,75.21,771.2,42.6
2025-12,partner,15600.0,681.34,22.9,11.4
2026-01,events,23091.67,1644.24,14.0,4.4
2026-01,inbound_content,24272.22,222.08,109.3,26.2
2026-01,outbound_sdr,14545.45,0.0,85.4,25.6
2026-01,paid_search,43066.67,192.39,223.9,35.8
2026-01,paid_social,60500.0,74.53,811.7,44.8
2026-01,partner,16200.0,683.72,23.7,11.8
2026-02,events,23800.0,1651.64,14.4,4.5
2026-02,inbound_content,24933.33,222.53,112.0,26.9
2026-02,outbound_sdr,15181.82,0.0,85.4,25.6
2026-02,paid_search,44200.0,193.45,228.5,36.6
2026-02,paid_social,63000.0,73.86,853.0,47.1
2026-02,partner,16800.0,686.11,24.5,12.2
2026-03,events,24508.33,1659.08,14.8,4.6
2026-03,inbound_content,25594.44,222.97,114.8,27.5
2026-03,outbound_sdr,15818.18,0.0,85.4,25.6
2026-03,paid_search,45333.33,194.51,233.1,37.3
2026-03,paid_social,65500.0,73.19,894.9,49.4
2026-03,partner,17400.0,688.51,25.3,12.6
2026-04,events,25216.67,1666.54,15.1,4.7
2026-04,inbound_content,26255.56,223.42,117.5,28.2
2026-04,outbound_sdr,16454.55,0.0,85.4,25.6
2026-04,paid_search,46466.67,195.58,237.6,38.0
2026-04,paid_social,68000.0,72.54,937.5,51.7
2026-04,partner,18000.0,690.92,26.1,13.0
2026-05,events,25925.0,1674.04,15.5,4.8
2026-05,inbound_content,26916.67,223.87,120.2,28.9
2026-05,outbound_sdr,17090.91,0.0,85.4,25.6
2026-05,paid_search,47600.0,196.66,242.0,38.7
2026-05,paid_social,70500.0,71.88,980.8,54.1
2026-05,partner,18600.0,693.34,26.8,13.4
2026-06,events,26633.33,1681.57,15.8,4.9
2026-06,inbound_content,27577.78,224.31,122.9,29.5
2026-06,outbound_sdr,17727.27,0.0,85.4,25.6
2026-06,paid_search,48733.33,197.74,246.5,39.4
2026-06,paid_social,73000.0,71.24,1024.8,56.6
2026-06,partner,19200.0,695.77,27.6,13.8
2026-07,events,27341.67,1689.14,16.2,5.0
2026-07,inbound_content,28238.89,224.76,125.6,30.2
2026-07,outbound_sdr,18363.64,0.0,85.4,25.6
2026-07,paid_search,49866.67,198.83,250.8,40.1
2026-07,paid_social,75500.0,70.6,1069.5,59.0
2026-07,partner,19800.0,698.2,28.4,14.2
2026-08,events,28050.0,1696.74,16.5,5.1
2026-08,inbound_content,28900.0,225.21,128.3,30.8
2026-08,outbound_sdr,19000.0,0.0,85.4,25.6
2026-08,paid_search,51000.0,199.92,255.1,40.8
2026-08,paid_social,78000.0,69.96,1114.9,61.5
2026-08,partner,20400.0,700.65,29.1,14.6
