CustomerKey,CustomerId,CompanyName,Segment,Channel,ChannelLabel,ChannelGroup,Plan,Country,Industry,SignupMonth,CohortMonth,AcquisitionWindow,IsPreWindow,SegmentImputed,ChannelUnattributed,PlanImputed,IsChurned,ChurnMonth,EntryAcv
16,CUST-00016,Cedar Apparel Holdings,SMB,partner,Partner / Reseller,Partner,Growth,US,Chemicals,2021-07,2023-09,Pre-window (no CAC),1,0,0,0,0,,5952.0
17,CUST-00017,Meridian Hardware Works,SMB,paid_search,Paid Search,Paid,Growth,US,Food & Beverage,2023-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,4464.0
18,CUST-00018,Orchard Chemicals Partners,SMB,paid_social,Paid Social,Paid,Growth,CA,3PL,2021-03,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-01,5952.0
19,CUST-00019,Iron Supply Inc,SMB,inbound_content,Inbound / Content,Inbound,Starter,CA,3PL,2023-06,2023-09,Pre-window (no CAC),1,0,0,0,1,2026-07,3276.0
20,CUST-00020,Iron Materials Works,SMB,inbound_content,Inbound / Content,Inbound,Starter,AU,Apparel,2021-07,2023-09,Pre-window (no CAC),1,0,0,0,0,,3744.0
21,CUST-00021,Ridge Components Ltd,MidMarket,paid_search,Paid Search,Paid,Scale,DE,Medical Devices,2022-08,2023-09,Pre-window (no CAC),1,0,0,0,0,,24288.0
22,CUST-00022,Northgate Industrial Works,SMB,events,Events / Field,Inbound,Starter,NL,Food & Beverage,2023-07,2023-09,Pre-window (no CAC),1,0,0,0,0,,4212.0
23,CUST-00023,Anchor Hardware Co,SMB,partner,Partner / Reseller,Partner,Starter,US,Automotive Parts,2023-07,2023-09,Pre-window (no CAC),1,0,0,0,0,,3744.0
24,CUST-00024,Copper Logistics Partners,SMB,paid_social,Paid Social,Paid,Starter,NL,Automotive Parts,2023-06,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-09,3276.0
25,CUST-00025,Ember Materials Holdings,SMB,outbound_sdr,Outbound SDR,Outbound,Growth,US,Automotive Parts,2021-09,2023-09,Pre-window (no CAC),1,0,0,0,1,2023-11,5952.0
26,CUST-00026,Halcyon Distribution Co,SMB,partner,Partner / Reseller,Partner,Growth,US,Automotive Parts,2021-06,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-06,4464.0
27,CUST-00027,Kestrel Medical Supply LLC,SMB,paid_search,Paid Search,Paid,Starter,AU,Food & Beverage,2021-09,2023-09,Pre-window (no CAC),1,0,0,0,0,,1872.0
28,CUST-00028,Granite Components LLC,SMB,paid_social,Paid Social,Paid,Starter,SE,3PL,2021-11,2023-09,Pre-window (no CAC),1,0,0,0,0,,2808.0
29,CUST-00029,Vantage Materials Ltd,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,AU,Industrial Distribution,2023-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,20064.0
30,CUST-00030,Iron Fulfilment Works,MidMarket,paid_search,Paid Search,Paid,Scale,CA,Food & Beverage,2021-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,10560.0
31,CUST-00031,Dune Industrial Inc,Enterprise,events,Events / Field,Inbound,Enterprise,SE,Medical Devices,2022-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,36300.0
32,CUST-00032,Bright Automotive Works,SMB,inbound_content,Inbound / Content,Inbound,Starter,GB,Automotive Parts,2021-09,2023-09,Pre-window (no CAC),1,0,0,1,0,,3744.0
33,CUST-00033,Quarry Apparel Ltd,SMB,partner,Partner / Reseller,Partner,Starter,US,Automotive Parts,2021-04,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-04,3276.0
34,CUST-00034,Northgate Freight Co,SMB,partner,Partner / Reseller,Partner,Starter,US,Apparel,2022-04,2023-09,Pre-window (no CAC),1,0,0,0,1,2023-11,1404.0
35,CUST-00035,Foundry Automotive Holdings,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,DE,Chemicals,2023-03,2023-09,Pre-window (no CAC),1,0,0,0,0,,16896.0
36,CUST-00036,Harbor Distribution Group,SMB,paid_search,Paid Search,Paid,Growth,US,Retail,2022-04,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-02,5952.0
37,CUST-00037,Ember Fulfilment Co,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,SE,Food & Beverage,2022-09,2023-09,Pre-window (no CAC),1,0,0,0,0,,12672.0
38,CUST-00038,Prairie Industrial Works,Enterprise,inbound_content,Inbound / Content,Inbound,Enterprise,US,Apparel,2022-02,2023-09,Pre-window (no CAC),1,0,0,0,0,,24684.0
39,CUST-00039,Prairie Industrial Inc,SMB,paid_search,Paid Search,Paid,Starter,SE,Automotive Parts,2022-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,3276.0
40,CUST-00040,Beacon Medical Supply LLC,SMB,partner,Partner / Reseller,Partner,Growth,CA,Medical Devices,2021-06,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-05,6696.0
41,CUST-00041,Willow Beverage Co,SMB,paid_search,Paid Search,Paid,Starter,GB,Medical Devices,2023-06,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-07,3744.0
42,CUST-00042,Beacon Medical Supply Inc,SMB,paid_search,Paid Search,Paid,Starter,US,Retail,2022-10,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-01,2340.0
43,CUST-00043,Copper Freight LLC,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,US,Retail,2021-10,2023-09,Pre-window (no CAC),1,0,0,0,0,,4212.0
44,CUST-00044,Cedar Freight LLC,SMB,partner,Partner / Reseller,Partner,Starter,SE,Medical Devices,2021-12,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-02,3744.0
45,CUST-00045,Summit Automotive Ltd,SMB,inbound_content,Inbound / Content,Inbound,Starter,US,Apparel,2022-05,2023-09,Pre-window (no CAC),1,0,0,0,0,,3744.0
46,CUST-00046,Orchard Fulfilment LLC,MidMarket,paid_search,Paid Search,Paid,Scale,NL,Food & Beverage,2022-03,2023-09,Pre-window (no CAC),1,0,0,0,0,,10560.0
47,CUST-00047,Prairie Medical Supply Co,SMB,partner,Partner / Reseller,Partner,Starter,US,Medical Devices,2023-04,2023-09,Pre-window (no CAC),1,0,0,0,1,2023-10,2340.0
48,CUST-00048,Northgate Fulfilment Co,SMB,outbound_sdr,Outbound SDR,Outbound,Growth,US,Automotive Parts,2022-10,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
49,CUST-00049,Pioneer Supply LLC,SMB,paid_search,Paid Search,Paid,Growth,US,3PL,2021-07,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-05,6696.0
50,CUST-00050,Kestrel Components LLC,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,GB,Chemicals,2023-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,20064.0
51,CUST-00051,Lakeshore Chemicals Holdings,MidMarket,paid_social,Paid Social,Paid,Scale,NL,Automotive Parts,2022-08,2023-09,Pre-window (no CAC),1,0,0,0,0,,24288.0
52,CUST-00052,Harbor Freight Inc,SMB,unattributed,Unattributed,Unknown,Growth,GB,3PL,2022-09,2023-09,Pre-window (no CAC),1,0,1,0,0,,4464.0
53,CUST-00053,Willow Components Inc,Enterprise,outbound_sdr,Outbound SDR,Outbound,Enterprise,CA,Automotive Parts,2023-02,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-11,39204.0
54,CUST-00054,Orchard Beverage Group,SMB,paid_search,Paid Search,Paid,Starter,GB,Automotive Parts,2023-03,2023-09,Pre-window (no CAC),1,0,0,0,1,2023-11,3276.0
55,CUST-00055,Meridian Logistics Co,SMB,outbound_sdr,Outbound SDR,Outbound,Growth,SE,Automotive Parts,2021-11,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
56,CUST-00056,Prairie Apparel Ltd,SMB,inbound_content,Inbound / Content,Inbound,Starter,US,Medical Devices,2021-10,2023-09,Pre-window (no CAC),1,0,0,0,1,2026-03,3276.0
57,CUST-00057,Vantage Fulfilment Group,SMB,paid_search,Paid Search,Paid,Growth,NL,Apparel,2023-01,2023-09,Pre-window (no CAC),1,0,0,0,0,,5952.0
58,CUST-00058,Vantage Automotive Co,SMB,paid_search,Paid Search,Paid,Starter,US,3PL,2021-07,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-01,2340.0
59,CUST-00059,Copper Packaging Co,MidMarket,paid_search,Paid Search,Paid,Scale,US,Retail,2022-01,2023-09,Pre-window (no CAC),1,0,0,0,0,,16896.0
60,CUST-00060,Beacon Freight Works,MidMarket,paid_social,Paid Social,Paid,Scale,SE,Automotive Parts,2023-01,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-09,15840.0
61,CUST-00061,Prairie Logistics LLC,SMB,paid_search,Paid Search,Paid,Starter,GB,Automotive Parts,2022-07,2023-09,Pre-window (no CAC),1,0,0,0,0,,3744.0
62,CUST-00062,Anchor Industrial Group,SMB,inbound_content,Inbound / Content,Inbound,Starter,US,Food & Beverage,2022-01,2023-09,Pre-window (no CAC),1,0,0,0,0,,3744.0
63,CUST-00063,Vantage Hardware Group,Enterprise,inbound_content,Inbound / Content,Inbound,Enterprise,US,Medical Devices,2022-12,2023-09,Pre-window (no CAC),1,0,0,0,0,,50820.0
64,CUST-00064,Orchard Paper Inc,SMB,events,Events / Field,Inbound,Starter,SE,Chemicals,2021-05,2023-09,Pre-window (no CAC),1,0,0,0,0,,2808.0
65,CUST-00065,Cedar Beverage Holdings,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,DE,Industrial Distribution,2022-08,2023-09,Pre-window (no CAC),1,0,0,0,0,,3276.0
66,CUST-00066,Trident Packaging Ltd,SMB,paid_search,Paid Search,Paid,Starter,DE,Apparel,2022-07,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-04,3276.0
67,CUST-00067,Prairie Materials Inc,MidMarket,unattributed,Unattributed,Unknown,Scale,DE,Chemicals,2022-07,2023-09,Pre-window (no CAC),1,0,1,0,0,,11616.0
68,CUST-00068,Granite Beverage Partners,SMB,events,Events / Field,Inbound,Growth,DE,Industrial Distribution,2022-12,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-01,5208.0
69,CUST-00069,Cedar Paper Holdings,SMB,paid_social,Paid Social,Paid,Growth,NL,3PL,2022-09,2023-09,Pre-window (no CAC),1,0,0,0,0,,4464.0
70,CUST-00070,Foundry Beverage LLC,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,SE,Food & Beverage,2022-10,2023-09,Pre-window (no CAC),1,0,0,0,1,2023-12,4212.0
71,CUST-00071,Bright Distribution LLC,SMB,partner,Partner / Reseller,Partner,Growth,NL,Medical Devices,2022-03,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-05,5952.0
72,CUST-00072,Anchor Packaging Partners,SMB,paid_search,Paid Search,Paid,Starter,US,Apparel,2022-12,2023-09,Pre-window (no CAC),1,0,0,1,0,,4212.0
73,CUST-00073,Pioneer Fulfilment Inc,Enterprise,partner,Partner / Reseller,Partner,Enterprise,CA,Food & Beverage,2023-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,34848.0
74,CUST-00074,Cedar Components LLC,MidMarket,paid_social,Paid Social,Paid,Scale,DE,Food & Beverage,2022-10,2023-09,Pre-window (no CAC),1,0,0,0,0,,11616.0
75,CUST-00075,Meridian Automotive Ltd,SMB,paid_social,Paid Social,Paid,Starter,SE,Industrial Distribution,2022-02,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-03,4212.0
76,CUST-00076,Northgate Wholesale Partners,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,NL,Retail,2021-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,21120.0
77,CUST-00077,Foundry Materials Holdings,Enterprise,paid_search,Paid Search,Paid,Enterprise,GB,Automotive Parts,2022-12,2023-09,Pre-window (no CAC),1,0,0,0,0,,21780.0
78,CUST-00078,Lakeshore Beverage Holdings,SMB,inbound_content,Inbound / Content,Inbound,Growth,AU,Apparel,2022-04,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-02,5952.0
79,CUST-00079,Iron Wholesale Co,SMB,paid_search,Paid Search,Paid,Starter,US,Food & Beverage,2022-08,2023-09,Pre-window (no CAC),1,0,0,0,0,,3276.0
80,CUST-00080,Bright Fulfilment Ltd,SMB,inbound_content,Inbound / Content,Inbound,Growth,US,Retail,2021-12,2023-09,Pre-window (no CAC),1,0,0,0,0,,4464.0
81,CUST-00081,Pioneer Logistics Holdings,SMB,inbound_content,Inbound / Content,Inbound,Growth,AU,Food & Beverage,2022-07,2023-09,Pre-window (no CAC),1,0,0,0,0,,6696.0
82,CUST-00082,Harbor Beverage Works,SMB,partner,Partner / Reseller,Partner,Starter,US,Chemicals,2021-07,2023-09,Pre-window (no CAC),1,0,0,0,1,2026-02,3744.0
83,CUST-00083,Vantage Chemicals Holdings,SMB,paid_social,Paid Social,Paid,Starter,NL,Automotive Parts,2023-01,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-02,3744.0
84,CUST-00084,Foundry Logistics Ltd,SMB,paid_search,Paid Search,Paid,Starter,DE,Chemicals,2022-08,2023-09,Pre-window (no CAC),1,0,0,0,0,,3276.0
85,CUST-00085,Granite Packaging Holdings,SMB,inbound_content,Inbound / Content,Inbound,Growth,GB,3PL,2021-09,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
86,CUST-00086,Dune Chemicals Group,MidMarket,paid_search,Paid Search,Paid,Scale,US,3PL,2022-12,2023-09,Pre-window (no CAC),1,0,0,0,0,,11616.0
87,CUST-00087,Quarry Medical Supply Group,SMB,events,Events / Field,Inbound,Starter,US,Industrial Distribution,2023-08,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-09,2808.0
88,CUST-00088,Granite Packaging Inc,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,US,Food & Beverage,2023-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,12672.0
89,CUST-00089,Ridge Distribution Group,SMB,events,Events / Field,Inbound,Starter,GB,Chemicals,2021-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,2340.0
90,CUST-00090,Beacon Materials Holdings,SMB,partner,Partner / Reseller,Partner,Growth,US,Retail,2021-12,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-01,4464.0
91,CUST-00091,Vantage Distribution Ltd,Enterprise,paid_social,Paid Social,Paid,Enterprise,NL,Apparel,2023-03,2023-09,Pre-window (no CAC),1,0,0,0,0,,36300.0
92,CUST-00092,Ridge Logistics Holdings,SMB,paid_search,Paid Search,Paid,Starter,SE,Food & Beverage,2023-01,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-11,3276.0
93,CUST-00093,Pioneer Paper LLC,SMB,partner,Partner / Reseller,Partner,Starter,US,Food & Beverage,2021-12,2023-09,Pre-window (no CAC),1,0,0,1,1,2024-04,3744.0
94,CUST-00094,Prairie Materials Group,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,DE,Apparel,2022-12,2023-09,Pre-window (no CAC),1,0,0,0,1,2026-06,10560.0
95,CUST-00095,Iron Wholesale Works,SMB,inbound_content,Inbound / Content,Inbound,Starter,US,Automotive Parts,2021-12,2023-09,Pre-window (no CAC),1,0,0,0,0,,3744.0
96,CUST-00096,Kestrel Materials Holdings,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,US,Automotive Parts,2021-10,2023-09,Pre-window (no CAC),1,0,0,0,0,,3744.0
97,CUST-00097,Quarry Hardware Co,SMB,inbound_content,Inbound / Content,Inbound,Growth,NL,Food & Beverage,2021-05,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-02,5952.0
98,CUST-00098,Foundry Wholesale Ltd,MidMarket,outbound_sdr,Outbound SDR,Outbound,Scale,SE,Food & Beverage,2021-07,2023-09,Pre-window (no CAC),1,0,0,0,0,,11616.0
99,CUST-00099,Sterling Distribution Ltd,Enterprise,inbound_content,Inbound / Content,Inbound,Enterprise,CA,Chemicals,2023-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,52272.0
100,CUST-00100,Sterling Chemicals Group,SMB,paid_search,Paid Search,Paid,Starter,NL,Food & Beverage,2022-01,2023-09,Pre-window (no CAC),1,0,0,0,0,,3744.0
101,CUST-00101,Summit Components Co,SMB,events,Events / Field,Inbound,Growth,GB,Industrial Distribution,2022-11,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
102,CUST-00102,Ember Foods Works,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,AU,Apparel,2021-11,2023-09,Pre-window (no CAC),1,0,0,0,0,,10560.0
103,CUST-00103,Orchard Distribution Group,SMB,paid_search,Paid Search,Paid,Starter,AU,Retail,2021-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,2808.0
104,CUST-00104,Granite Fulfilment Co,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,US,Retail,2021-11,2023-09,Pre-window (no CAC),1,0,0,0,0,,4212.0
105,CUST-00105,Willow Wholesale Co,MidMarket,partner,Partner / Reseller,Partner,Scale,SE,Automotive Parts,2021-11,2023-09,Pre-window (no CAC),1,0,0,0,0,,11616.0
106,CUST-00106,Falcon Packaging Ltd,SMB,paid_search,Paid Search,Paid,Starter,US,3PL,2021-05,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-09,3744.0
107,CUST-00107,Bright Medical Supply Co,SMB,inbound_content,Inbound / Content,Inbound,Growth,NL,Food & Beverage,2021-12,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
108,CUST-00108,Dune Industrial Group,SMB,paid_search,Paid Search,Paid,Growth,US,Apparel,2022-06,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-08,4464.0
109,CUST-00109,Orchard Beverage Works,SMB,inbound_content,Inbound / Content,Inbound,Starter,US,Apparel,2021-03,2023-09,Pre-window (no CAC),1,0,0,0,0,,2808.0
110,CUST-00110,Cedar Hardware Co,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,US,3PL,2022-10,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-03,3744.0
111,CUST-00111,Bright Distribution Holdings,SMB,unattributed,Unattributed,Unknown,Starter,GB,Medical Devices,2021-03,2023-09,Pre-window (no CAC),1,0,1,0,1,2024-04,2808.0
112,CUST-00112,Kestrel Beverage Ltd,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,GB,Retail,2023-08,2023-09,Pre-window (no CAC),1,0,0,0,1,2026-01,10560.0
113,CUST-00113,Halcyon Packaging LLC,SMB,inbound_content,Inbound / Content,Inbound,Growth,DE,Chemicals,2023-05,2023-09,Pre-window (no CAC),1,0,0,0,0,,4464.0
114,CUST-00114,Trident Medical Supply Holdings,SMB,inbound_content,Inbound / Content,Inbound,Starter,US,Industrial Distribution,2022-10,2023-09,Pre-window (no CAC),1,0,0,0,0,,2808.0
115,CUST-00115,Quarry Wholesale Co,MidMarket,partner,Partner / Reseller,Partner,Scale,CA,Apparel,2022-05,2023-09,Pre-window (no CAC),1,0,0,0,0,,10560.0
116,CUST-00116,Vantage Paper Works,SMB,paid_search,Paid Search,Paid,Growth,US,Food & Beverage,2021-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
117,CUST-00117,Foundry Apparel Co,SMB,inbound_content,Inbound / Content,Inbound,Starter,US,3PL,2021-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,4212.0
118,CUST-00118,Cedar Freight LLC,SMB,paid_search,Paid Search,Paid,Starter,NL,Food & Beverage,2022-12,2023-09,Pre-window (no CAC),1,0,0,0,0,,2808.0
119,CUST-00119,Northgate Packaging Ltd,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,CA,Food & Beverage,2023-08,2023-09,Pre-window (no CAC),1,0,0,0,0,,10560.0
120,CUST-00120,Cedar Beverage Holdings,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,US,Retail,2023-01,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-05,4212.0
121,CUST-00121,Ember Automotive LLC,Enterprise,paid_search,Paid Search,Paid,Enterprise,CA,Industrial Distribution,2021-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,21780.0
122,CUST-00122,Dune Materials Co,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,GB,3PL,2023-03,2023-09,Pre-window (no CAC),1,0,0,0,0,,2808.0
123,CUST-00123,Bluff Medical Supply Works,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,AU,Automotive Parts,2022-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,17952.0
124,CUST-00124,Harbor Industrial Co,SMB,paid_search,Paid Search,Paid,Starter,AU,Automotive Parts,2023-04,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-08,2808.0
125,CUST-00125,Ember Logistics Works,SMB,partner,Partner / Reseller,Partner,Starter,US,Automotive Parts,2023-05,2023-09,Pre-window (no CAC),1,0,0,0,0,,4212.0
126,CUST-00126,Anchor Packaging Works,SMB,outbound_sdr,Outbound SDR,Outbound,Growth,US,Automotive Parts,2021-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,6696.0
127,CUST-00127,Bright Packaging Ltd,SMB,paid_search,Paid Search,Paid,Growth,DE,Chemicals,2022-10,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
128,CUST-00128,Sterling Industrial Group,SMB,partner,Partner / Reseller,Partner,Growth,US,Automotive Parts,2022-05,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
129,CUST-00129,Iron Beverage LLC,SMB,paid_search,Paid Search,Paid,Starter,US,Automotive Parts,2021-10,2023-09,Pre-window (no CAC),1,0,0,0,0,,1404.0
130,CUST-00130,Ember Hardware LLC,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,US,Chemicals,2023-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,3744.0
131,CUST-00131,Granite Fulfilment LLC,SMB,inbound_content,Inbound / Content,Inbound,Starter,NL,Apparel,2021-11,2023-09,Pre-window (no CAC),1,0,0,0,0,,3276.0
132,CUST-00132,Prairie Chemicals Group,SMB,events,Events / Field,Inbound,Starter,DE,Food & Beverage,2022-07,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-01,3744.0
133,CUST-00133,Halcyon Automotive Holdings,SMB,outbound_sdr,Outbound SDR,Outbound,Growth,US,Industrial Distribution,2021-03,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
134,CUST-00134,Foundry Apparel Inc,SMB,partner,Partner / Reseller,Partner,Growth,US,Industrial Distribution,2021-12,2023-09,Pre-window (no CAC),1,0,0,0,1,2023-10,6696.0
135,CUST-00135,Dune Distribution LLC,SMB,events,Events / Field,Inbound,Starter,GB,Industrial Distribution,2022-05,2023-09,Pre-window (no CAC),1,0,0,0,0,,4212.0
136,CUST-00136,Harbor Wholesale Works,SMB,paid_social,Paid Social,Paid,Starter,NL,Food & Beverage,2022-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,3276.0
137,CUST-00137,Anchor Fulfilment Co,SMB,outbound_sdr,Outbound SDR,Outbound,Starter,CA,Retail,2021-12,2023-09,Pre-window (no CAC),1,0,0,0,0,,2808.0
138,CUST-00138,Anchor Apparel Inc,SMB,paid_social,Paid Social,Paid,Starter,US,Medical Devices,2023-01,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-03,2340.0
139,CUST-00139,Foundry Packaging Holdings,SMB,paid_social,Paid Social,Paid,Starter,US,3PL,2021-11,2023-09,Pre-window (no CAC),1,0,0,0,1,2026-06,3276.0
140,CUST-00140,Foundry Freight Ltd,SMB,paid_social,Paid Social,Paid,Starter,US,Medical Devices,2021-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,2808.0
141,CUST-00141,Foundry Packaging LLC,MidMarket,paid_search,Paid Search,Paid,Scale,US,Food & Beverage,2022-04,2023-09,Pre-window (no CAC),1,0,0,0,0,,10560.0
142,CUST-00142,Northgate Chemicals Co,SMB,partner,Partner / Reseller,Partner,Growth,US,3PL,2022-10,2023-09,Pre-window (no CAC),1,0,0,0,1,2025-08,4464.0
143,CUST-00143,Iron Hardware Holdings,SMB,paid_search,Paid Search,Paid,Starter,DE,Chemicals,2022-11,2023-09,Pre-window (no CAC),1,0,0,0,0,,2340.0
144,CUST-00144,Ridge Supply Works,SMB,paid_search,Paid Search,Paid,Growth,DE,3PL,2021-06,2023-09,Pre-window (no CAC),1,0,0,0,0,,5208.0
145,CUST-00145,Pioneer Logistics Co,SMB,inbound_content,Inbound / Content,Inbound,Growth,GB,Food & Beverage,2022-03,2023-09,Pre-window (no CAC),1,0,0,0,1,2024-07,5208.0
146,CUST-00146,Foundry Freight Group,MidMarket,inbound_content,Inbound / Content,Inbound,Scale,US,Medical Devices,2022-01,2023-09,Pre-window (no CAC),1,0,0,0,0,,13728.0
