MonthKey,ChannelKey,ProgramSpend,CostPerLead,Leads,Sqls
202509,2,49000.0,77.27,634.1,35.0
202509,3,21627.78,220.32,98.2,23.6
202509,4,12000.0,0.0,73.5,22.1
202509,5,13800.0,674.23,20.5,10.2
202509,6,20258.33,1614.98,12.5,3.9
202510,1,39666.67,189.25,209.6,33.5
202510,2,52000.0,76.58,679.0,37.5
202510,3,22288.89,220.76,101.0,24.2
202510,4,12636.36,0.0,82.5,24.8
202510,5,14400.0,676.59,21.3,10.6
202510,6,20966.67,1622.25,12.9,4.0
202511,1,40800.0,190.29,214.4,34.3
202511,2,55000.0,75.89,724.7,40.0
202511,3,22950.0,221.2,103.8,24.9
202511,4,13272.73,0.0,85.4,25.6
202511,5,15000.0,678.96,22.1,11.0
202511,6,21675.0,1629.55,13.3,4.1
202512,1,41933.33,191.34,219.2,35.1
202512,2,58000.0,75.21,771.2,42.6
202512,3,23611.11,221.64,106.5,25.6
202512,4,13909.09,0.0,85.4,25.6
202512,5,15600.0,681.34,22.9,11.4
202512,6,22383.33,1636.88,13.7,4.2
202601,1,43066.67,192.39,223.9,35.8
202601,2,60500.0,74.53,811.7,44.8
202601,3,24272.22,222.08,109.3,26.2
202601,4,14545.45,0.0,85.4,25.6
202601,5,16200.0,683.72,23.7,11.8
202601,6,23091.67,1644.24,14.0,4.4
202602,1,44200.0,193.45,228.5,36.6
202602,2,63000.0,73.86,853.0,47.1
202602,3,24933.33,222.53,112.0,26.9
202602,4,15181.82,0.0,85.4,25.6
202602,5,16800.0,686.11,24.5,12.2
202602,6,23800.0,1651.64,14.4,4.5
202603,1,45333.33,194.51,233.1,37.3
202603,2,65500.0,73.19,894.9,49.4
202603,3,25594.44,222.97,114.8,27.5
202603,4,15818.18,0.0,85.4,25.6
202603,5,17400.0,688.51,25.3,12.6
202603,6,24508.33,1659.08,14.8,4.6
202604,1,46466.67,195.58,237.6,38.0
202604,2,68000.0,72.54,937.5,51.7
202604,3,26255.56,223.42,117.5,28.2
202604,4,16454.55,0.0,85.4,25.6
202604,5,18000.0,690.92,26.1,13.0
202604,6,25216.67,1666.54,15.1,4.7
202605,1,47600.0,196.66,242.0,38.7
202605,2,70500.0,71.88,980.8,54.1
202605,3,26916.67,223.87,120.2,28.9
202605,4,17090.91,0.0,85.4,25.6
202605,5,18600.0,693.34,26.8,13.4
202605,6,25925.0,1674.04,15.5,4.8
202606,1,48733.33,197.74,246.5,39.4
202606,2,73000.0,71.24,1024.8,56.6
202606,3,27577.78,224.31,122.9,29.5
202606,4,17727.27,0.0,85.4,25.6
202606,5,19200.0,695.77,27.6,13.8
202606,6,26633.33,1681.57,15.8,4.9
202607,1,49866.67,198.83,250.8,40.1
202607,2,75500.0,70.6,1069.5,59.0
202607,3,28238.89,224.76,125.6,30.2
202607,4,18363.64,0.0,85.4,25.6
202607,5,19800.0,698.2,28.4,14.2
202607,6,27341.67,1689.14,16.2,5.0
202608,1,51000.0,199.92,255.1,40.8
202608,2,78000.0,69.96,1114.9,61.5
202608,3,28900.0,225.21,128.3,30.8
202608,4,19000.0,0.0,85.4,25.6
202608,5,20400.0,700.65,29.1,14.6
202608,6,28050.0,1696.74,16.5,5.1
