cohort,cohort_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2025-09,17,100.0,100.0,94.1,94.1,94.1,88.2,88.2,82.4,82.4,82.4,82.4,82.4,,,,,,,,,,,,,,,,,,,,,,,,
2025-10,10,100.0,100.0,90.0,90.0,90.0,90.0,90.0,90.0,80.0,80.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11,9,100.0,100.0,100.0,88.9,88.9,88.9,88.9,88.9,88.9,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12,18,100.0,100.0,94.4,88.9,88.9,88.9,88.9,88.9,77.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01,14,100.0,100.0,100.0,100.0,100.0,92.9,92.9,92.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02,18,100.0,94.4,94.4,94.4,94.4,94.4,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03,14,100.0,100.0,100.0,85.7,85.7,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04,17,100.0,94.1,94.1,94.1,88.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05,16,100.0,100.0,100.0,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06,22,100.0,95.5,95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07,11,100.0,81.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08,18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRE-WINDOW,452,100.0,97.8,96.7,95.1,94.2,93.1,91.4,90.0,88.5,87.2,85.8,85.0,82.7,81.2,80.1,79.0,78.1,75.7,74.3,73.0,71.7,70.4,69.5,68.4,67.5,67.0,65.5,63.7,62.4,61.9,61.1,60.0,59.3,58.4,57.5,56.6
