cohort,months_since,live_logos,cohort_size,cohort_mrr,cohort_mrr_m0,revenue_retention_pct,logo_retention_pct
2023-10,1,4,4,3750.0,3750.0,100.0,100.0
2023-10,2,4,4,3874.0,3750.0,103.3,100.0
2023-10,3,4,4,3874.0,3750.0,103.3,100.0
2023-10,4,3,4,3502.0,3750.0,93.4,75.0
2023-10,5,3,4,3502.0,3750.0,93.4,75.0
2023-10,6,3,4,3502.0,3750.0,93.4,75.0
2023-10,7,3,4,3678.0,3750.0,98.1,75.0
2023-10,8,3,4,3678.0,3750.0,98.1,75.0
2023-10,9,3,4,3740.0,3750.0,99.7,75.0
2023-10,10,3,4,3554.0,3750.0,94.8,75.0
2023-10,11,3,4,3492.0,3750.0,93.1,75.0
2023-10,12,3,4,3492.0,3750.0,93.1,75.0
2023-10,13,3,4,3228.0,3750.0,86.1,75.0
2023-10,14,3,4,3166.0,3750.0,84.4,75.0
2023-10,15,3,4,3430.0,3750.0,91.5,75.0
2023-10,16,3,4,3694.0,3750.0,98.5,75.0
2023-10,17,3,4,3694.0,3750.0,98.5,75.0
2023-10,18,2,4,3446.0,3750.0,91.9,50.0
2023-10,19,2,4,3446.0,3750.0,91.9,50.0
2023-10,20,2,4,3446.0,3750.0,91.9,50.0
2023-10,21,2,4,3446.0,3750.0,91.9,50.0
2023-10,22,2,4,3446.0,3750.0,91.9,50.0
2023-10,23,2,4,3446.0,3750.0,91.9,50.0
2023-10,24,2,4,3591.08,3750.0,95.8,50.0
2023-10,25,2,4,3855.08,3750.0,102.8,50.0
2023-10,26,2,4,3855.08,3750.0,102.8,50.0
2023-10,27,2,4,3855.08,3750.0,102.8,50.0
2023-10,28,2,4,3855.08,3750.0,102.8,50.0
2023-10,29,2,4,3855.08,3750.0,102.8,50.0
2023-10,30,2,4,3855.08,3750.0,102.8,50.0
2023-10,31,2,4,3855.08,3750.0,102.8,50.0
2023-10,32,2,4,3855.08,3750.0,102.8,50.0
2023-10,33,2,4,3855.08,3750.0,102.8,50.0
2023-10,34,2,4,3855.08,3750.0,102.8,50.0
2023-11,0,6,6,9806.0,9806.0,100.0,100.0
2023-11,1,6,6,9806.0,9806.0,100.0,100.0
2023-11,2,6,6,9806.0,9806.0,100.0,100.0
2023-11,3,5,6,9248.0,9806.0,94.3,83.3
2023-11,4,5,6,9248.0,9806.0,94.3,83.3
2023-11,5,5,6,9248.0,9806.0,94.3,83.3
2023-11,6,5,6,9248.0,9806.0,94.3,83.3
2023-11,7,5,6,9248.0,9806.0,94.3,83.3
2023-11,8,5,6,9248.0,9806.0,94.3,83.3
2023-11,9,5,6,9248.0,9806.0,94.3,83.3
2023-11,10,5,6,9662.0,9806.0,98.5,83.3
2023-11,11,5,6,9662.0,9806.0,98.5,83.3
2023-11,12,5,6,9662.0,9806.0,98.5,83.3
2023-11,13,5,6,9662.0,9806.0,98.5,83.3
2023-11,14,5,6,9600.0,9806.0,97.9,83.3
2023-11,15,5,6,9600.0,9806.0,97.9,83.3
2023-11,16,5,6,9776.0,9806.0,99.7,83.3
2023-11,17,5,6,9838.0,9806.0,100.3,83.3
2023-11,18,5,6,9838.0,9806.0,100.3,83.3
2023-11,19,5,6,9776.0,9806.0,99.7,83.3
2023-11,20,4,6,9218.0,9806.0,94.0,66.7
2023-11,21,4,6,9746.0,9806.0,99.4,66.7
2023-11,22,4,6,9808.0,9806.0,100.0,66.7
2023-11,23,4,6,9808.0,9806.0,100.0,66.7
2023-11,24,4,6,9941.92,9806.0,101.4,66.7
2023-11,25,4,6,10205.92,9806.0,104.1,66.7
2023-11,26,4,6,10029.92,9806.0,102.3,66.7
2023-11,27,4,6,10029.92,9806.0,102.3,66.7
2023-11,28,4,6,10704.24,9806.0,109.2,66.7
2023-11,29,4,6,11320.24,9806.0,115.4,66.7
2023-11,30,4,6,11320.24,9806.0,115.4,66.7
2023-11,31,4,6,11320.24,9806.0,115.4,66.7
2023-11,32,4,6,11393.4,9806.0,116.2,66.7
2023-11,33,4,6,11466.56,9806.0,116.9,66.7
2023-12,0,3,3,1674.0,1674.0,100.0,100.0
2023-12,1,3,3,1674.0,1674.0,100.0,100.0
2023-12,2,3,3,1674.0,1674.0,100.0,100.0
2023-12,3,3,3,1674.0,1674.0,100.0,100.0
2023-12,4,3,3,1674.0,1674.0,100.0,100.0
2023-12,5,3,3,1674.0,1674.0,100.0,100.0
2023-12,6,3,3,1674.0,1674.0,100.0,100.0
2023-12,7,3,3,1674.0,1674.0,100.0,100.0
2023-12,8,3,3,1674.0,1674.0,100.0,100.0
2023-12,9,3,3,1674.0,1674.0,100.0,100.0
2023-12,10,3,3,1674.0,1674.0,100.0,100.0
2023-12,11,3,3,1674.0,1674.0,100.0,100.0
2023-12,12,3,3,1674.0,1674.0,100.0,100.0
2023-12,13,3,3,1736.0,1674.0,103.7,100.0
2023-12,14,3,3,1674.0,1674.0,100.0,100.0
2023-12,15,1,3,434.0,1674.0,25.9,33.3
2023-12,16,1,3,434.0,1674.0,25.9,33.3
2023-12,17,1,3,434.0,1674.0,25.9,33.3
2023-12,18,1,3,434.0,1674.0,25.9,33.3
2023-12,19,1,3,434.0,1674.0,25.9,33.3
2023-12,20,1,3,434.0,1674.0,25.9,33.3
2023-12,21,1,3,434.0,1674.0,25.9,33.3
2023-12,22,1,3,434.0,1674.0,25.9,33.3
2023-12,23,1,3,434.0,1674.0,25.9,33.3
2023-12,24,1,3,512.12,1674.0,30.6,33.3
2023-12,25,1,3,512.12,1674.0,30.6,33.3
2023-12,26,1,3,585.28,1674.0,35.0,33.3
2023-12,27,1,3,585.28,1674.0,35.0,33.3
2023-12,28,0,3,0.0,1674.0,0.0,0.0
2024-01,0,6,6,10732.0,10732.0,100.0,100.0
2024-01,1,6,6,10732.0,10732.0,100.0,100.0
2024-01,2,5,6,10236.0,10732.0,95.4,83.3
2024-01,3,5,6,10236.0,10732.0,95.4,83.3
2024-01,4,5,6,10236.0,10732.0,95.4,83.3
2024-01,5,5,6,10236.0,10732.0,95.4,83.3
2024-01,6,5,6,10236.0,10732.0,95.4,83.3
2024-01,7,5,6,10236.0,10732.0,95.4,83.3
2024-01,8,5,6,10236.0,10732.0,95.4,83.3
2024-01,9,4,6,9802.0,10732.0,91.3,66.7
2024-01,10,4,6,9802.0,10732.0,91.3,66.7
2024-01,11,4,6,10528.0,10732.0,98.1,66.7
2024-01,12,4,6,10528.0,10732.0,98.1,66.7
2024-01,13,4,6,10590.0,10732.0,98.7,66.7
2024-01,14,4,6,10590.0,10732.0,98.7,66.7
2024-01,15,4,6,10590.0,10732.0,98.7,66.7
2024-01,16,4,6,10590.0,10732.0,98.7,66.7
2024-01,17,4,6,10590.0,10732.0,98.7,66.7
2024-01,18,4,6,12064.0,10732.0,112.4,66.7
2024-01,19,4,6,13274.0,10732.0,123.7,66.7
2024-01,20,4,6,14121.0,10732.0,131.6,66.7
2024-01,21,4,6,15995.0,10732.0,149.0,66.7
2024-01,22,4,6,15819.0,10732.0,147.4,66.7
2024-01,23,4,6,15819.0,10732.0,147.4,66.7
2024-01,24,4,6,15981.44,10732.0,148.9,66.7
2024-01,25,4,6,17070.44,10732.0,159.1,66.7
2024-01,26,4,6,17246.44,10732.0,160.7,66.7
2024-01,27,4,6,17246.44,10732.0,160.7,66.7
2024-01,28,4,6,19446.44,10732.0,181.2,66.7
2024-01,29,4,6,19446.44,10732.0,181.2,66.7
2024-01,30,4,6,19446.44,10732.0,181.2,66.7
2024-01,31,4,6,19446.44,10732.0,181.2,66.7
2024-02,0,1,1,9438.0,9438.0,100.0,100.0
2024-02,1,1,1,9438.0,9438.0,100.0,100.0
2024-02,2,1,1,9438.0,9438.0,100.0,100.0
2024-02,3,1,1,9438.0,9438.0,100.0,100.0
2024-02,4,1,1,9438.0,9438.0,100.0,100.0
2024-02,5,1,1,9438.0,9438.0,100.0,100.0
2024-02,6,1,1,9438.0,9438.0,100.0,100.0
2024-02,7,1,1,9438.0,9438.0,100.0,100.0
2024-02,8,1,1,9438.0,9438.0,100.0,100.0
2024-02,9,1,1,10285.0,9438.0,109.0,100.0
2024-02,10,1,1,10285.0,9438.0,109.0,100.0
2024-02,11,1,1,11737.0,9438.0,124.4,100.0
2024-02,12,1,1,11737.0,9438.0,124.4,100.0
2024-02,13,1,1,11737.0,9438.0,124.4,100.0
2024-02,14,1,1,11737.0,9438.0,124.4,100.0
2024-02,15,1,1,11737.0,9438.0,124.4,100.0
2024-02,16,1,1,11737.0,9438.0,124.4,100.0
2024-02,17,1,1,11737.0,9438.0,124.4,100.0
2024-02,18,1,1,11737.0,9438.0,124.4,100.0
2024-02,19,1,1,11737.0,9438.0,124.4,100.0
2024-02,20,1,1,11737.0,9438.0,124.4,100.0
2024-02,21,1,1,11737.0,9438.0,124.4,100.0
2024-02,22,1,1,13189.0,9438.0,139.7,100.0
2024-02,23,1,1,14399.0,9438.0,152.6,100.0
2024-02,24,1,1,14399.0,9438.0,152.6,100.0
2024-02,25,1,1,15851.0,9438.0,167.9,100.0
2024-02,26,1,1,15851.0,9438.0,167.9,100.0
2024-02,27,1,1,15851.0,9438.0,167.9,100.0
2024-02,28,1,1,15851.0,9438.0,167.9,100.0
2024-02,29,1,1,15851.0,9438.0,167.9,100.0
2024-02,30,1,1,15851.0,9438.0,167.9,100.0
2024-03,0,6,6,20122.0,20122.0,100.0,100.0
2024-03,1,6,6,20122.0,20122.0,100.0,100.0
2024-03,2,5,6,15810.0,20122.0,78.6,83.3
2024-03,3,5,6,15810.0,20122.0,78.6,83.3
2024-03,4,5,6,16657.0,20122.0,82.8,83.3
2024-03,5,5,6,16657.0,20122.0,82.8,83.3
2024-03,6,5,6,16657.0,20122.0,82.8,83.3
2024-03,7,5,6,15931.0,20122.0,79.2,83.3
2024-03,8,5,6,15931.0,20122.0,79.2,83.3
2024-03,9,5,6,15931.0,20122.0,79.2,83.3
2024-03,10,5,6,16294.0,20122.0,81.0,83.3
2024-03,11,5,6,16356.0,20122.0,81.3,83.3
2024-03,12,5,6,16811.0,20122.0,83.5,83.3
2024-03,13,5,6,16811.0,20122.0,83.5,83.3
2024-03,14,5,6,16811.0,20122.0,83.5,83.3
2024-03,15,5,6,16811.0,20122.0,83.5,83.3
2024-03,16,5,6,16811.0,20122.0,83.5,83.3
2024-03,17,5,6,16811.0,20122.0,83.5,83.3
2024-03,18,5,6,16811.0,20122.0,83.5,83.3
2024-03,19,5,6,16811.0,20122.0,83.5,83.3
2024-03,20,5,6,16811.0,20122.0,83.5,83.3
2024-03,21,5,6,17658.0,20122.0,87.8,83.3
2024-03,22,5,6,18868.0,20122.0,93.8,83.3
2024-03,23,5,6,18868.0,20122.0,93.8,83.3
2024-03,24,5,6,19014.32,20122.0,94.5,83.3
2024-03,25,5,6,19014.32,20122.0,94.5,83.3
2024-03,26,5,6,19014.32,20122.0,94.5,83.3
2024-03,27,5,6,21676.32,20122.0,107.7,83.3
2024-03,28,5,6,21676.32,20122.0,107.7,83.3
2024-03,29,5,6,22116.32,20122.0,109.9,83.3
2024-04,0,9,9,14884.0,14884.0,100.0,100.0
2024-04,1,9,9,15236.0,14884.0,102.4,100.0
2024-04,2,9,9,15236.0,14884.0,102.4,100.0
2024-04,3,9,9,15236.0,14884.0,102.4,100.0
2024-04,4,9,9,15236.0,14884.0,102.4,100.0
2024-04,5,9,9,15236.0,14884.0,102.4,100.0
2024-04,6,9,9,14936.0,14884.0,100.3,100.0
2024-04,7,9,9,15438.0,14884.0,103.7,100.0
2024-04,8,9,9,15438.0,14884.0,103.7,100.0
2024-04,9,9,9,15614.0,14884.0,104.9,100.0
2024-04,10,9,9,15614.0,14884.0,104.9,100.0
2024-04,11,9,9,15614.0,14884.0,104.9,100.0
2024-04,12,9,9,15937.64,14884.0,107.1,100.0
2024-04,13,9,9,15761.64,14884.0,105.9,100.0
2024-04,14,9,9,15761.64,14884.0,105.9,100.0
2024-04,15,9,9,15761.64,14884.0,105.9,100.0
2024-04,16,9,9,15761.64,14884.0,105.9,100.0
2024-04,17,9,9,15761.64,14884.0,105.9,100.0
2024-04,18,9,9,16201.64,14884.0,108.9,100.0
2024-04,19,9,9,16201.64,14884.0,108.9,100.0
2024-04,20,9,9,16201.64,14884.0,108.9,100.0
2024-04,21,9,9,16641.64,14884.0,111.8,100.0
2024-04,22,9,9,16289.64,14884.0,109.4,100.0
2024-04,23,9,9,16289.64,14884.0,109.4,100.0
2024-04,24,8,9,15602.56,14884.0,104.8,88.9
2024-04,25,8,9,15939.72,14884.0,107.1,88.9
2024-04,26,8,9,15587.72,14884.0,104.7,88.9
2024-04,27,8,9,15587.72,14884.0,104.7,88.9
2024-04,28,8,9,16203.72,14884.0,108.9,88.9
2024-05,0,8,8,8710.0,8710.0,100.0,100.0
2024-05,1,8,8,8710.0,8710.0,100.0,100.0
2024-05,2,7,8,6950.0,8710.0,79.8,87.5
2024-05,3,7,8,6950.0,8710.0,79.8,87.5
2024-05,4,7,8,6950.0,8710.0,79.8,87.5
2024-05,5,7,8,6950.0,8710.0,79.8,87.5
2024-05,6,7,8,6950.0,8710.0,79.8,87.5
2024-05,7,7,8,6950.0,8710.0,79.8,87.5
2024-05,8,7,8,7012.0,8710.0,80.5,87.5
2024-05,9,7,8,7188.0,8710.0,82.5,87.5
2024-05,10,7,8,7126.0,8710.0,81.8,87.5
2024-05,11,7,8,7126.0,8710.0,81.8,87.5
2024-05,12,7,8,7806.76,8710.0,89.6,87.5
2024-05,13,7,8,7806.76,8710.0,89.6,87.5
2024-05,14,7,8,7894.76,8710.0,90.6,87.5
2024-05,15,7,8,8246.76,8710.0,94.7,87.5
2024-05,16,7,8,8246.76,8710.0,94.7,87.5
2024-05,17,7,8,8319.92,8710.0,95.5,87.5
2024-05,18,7,8,8319.92,8710.0,95.5,87.5
2024-05,19,7,8,8319.92,8710.0,95.5,87.5
2024-05,20,7,8,8319.92,8710.0,95.5,87.5
2024-05,21,7,8,8319.92,8710.0,95.5,87.5
2024-05,22,7,8,8466.24,8710.0,97.2,87.5
2024-05,23,7,8,8466.24,8710.0,97.2,87.5
2024-05,24,7,8,8539.4,8710.0,98.0,87.5
2024-05,25,7,8,8758.88,8710.0,100.6,87.5
2024-05,26,7,8,8685.72,8710.0,99.7,87.5
2024-05,27,7,8,8949.72,8710.0,102.8,87.5
2024-06,0,4,4,3927.0,3927.0,100.0,100.0
2024-06,1,4,4,3927.0,3927.0,100.0,100.0
2024-06,2,4,4,3927.0,3927.0,100.0,100.0
2024-06,3,4,4,3927.0,3927.0,100.0,100.0
2024-06,4,4,4,3927.0,3927.0,100.0,100.0
2024-06,5,4,4,3927.0,3927.0,100.0,100.0
2024-06,6,4,4,3927.0,3927.0,100.0,100.0
2024-06,7,4,4,3927.0,3927.0,100.0,100.0
2024-06,8,4,4,3927.0,3927.0,100.0,100.0
2024-06,9,4,4,3927.0,3927.0,100.0,100.0
2024-06,10,4,4,3927.0,3927.0,100.0,100.0
2024-06,11,4,4,3927.0,3927.0,100.0,100.0
2024-06,12,4,4,4152.62,3927.0,105.7,100.0
2024-06,13,4,4,4106.6,3927.0,104.6,100.0
2024-06,14,4,4,4370.6,3927.0,111.3,100.0
2024-06,15,4,4,4370.6,3927.0,111.3,100.0
2024-06,16,4,4,4370.6,3927.0,111.3,100.0
2024-06,17,4,4,4370.6,3927.0,111.3,100.0
2024-06,18,4,4,4443.76,3927.0,113.2,100.0
2024-06,19,4,4,4619.76,3927.0,117.6,100.0
2024-06,20,4,4,4619.76,3927.0,117.6,100.0
2024-06,21,4,4,4956.92,3927.0,126.2,100.0
2024-06,22,4,4,4956.92,3927.0,126.2,100.0
2024-06,23,4,4,5220.92,3927.0,132.9,100.0
2024-06,24,3,4,4852.76,3927.0,123.6,75.0
2024-06,25,3,4,4852.76,3927.0,123.6,75.0
2024-06,26,3,4,4852.76,3927.0,123.6,75.0
2024-07,0,5,5,14986.0,14986.0,100.0,100.0
2024-07,1,5,5,14986.0,14986.0,100.0,100.0
2024-07,2,5,5,14986.0,14986.0,100.0,100.0
2024-07,3,5,5,14986.0,14986.0,100.0,100.0
2024-07,4,5,5,14986.0,14986.0,100.0,100.0
2024-07,5,5,5,14986.0,14986.0,100.0,100.0
2024-07,6,5,5,14986.0,14986.0,100.0,100.0
2024-07,7,5,5,15954.0,14986.0,106.5,100.0
2024-07,8,5,5,15954.0,14986.0,106.5,100.0
2024-07,9,5,5,15954.0,14986.0,106.5,100.0
2024-07,10,5,5,15768.0,14986.0,105.2,100.0
2024-07,11,5,5,16006.0,14986.0,106.8,100.0
2024-07,12,5,5,16218.04,14986.0,108.2,100.0
2024-07,13,5,5,16218.04,14986.0,108.2,100.0
2024-07,14,5,5,16218.04,14986.0,108.2,100.0
2024-07,15,4,5,15090.96,14986.0,100.7,80.0
2024-07,16,4,5,15090.96,14986.0,100.7,80.0
2024-07,17,4,5,15354.96,14986.0,102.5,80.0
2024-07,18,4,5,15354.96,14986.0,102.5,80.0
2024-07,19,4,5,15428.12,14986.0,103.0,80.0
2024-07,20,4,5,15428.12,14986.0,103.0,80.0
2024-07,21,4,5,15428.12,14986.0,103.0,80.0
2024-07,22,4,5,15428.12,14986.0,103.0,80.0
2024-07,23,4,5,15428.12,14986.0,103.0,80.0
2024-07,24,4,5,15428.12,14986.0,103.0,80.0
2024-07,25,4,5,15428.12,14986.0,103.0,80.0
2024-08,0,5,5,6410.0,6410.0,100.0,100.0
2024-08,1,5,5,6348.0,6410.0,99.0,100.0
2024-08,2,5,5,6348.0,6410.0,99.0,100.0
2024-08,3,5,5,6410.0,6410.0,100.0,100.0
2024-08,4,5,5,6410.0,6410.0,100.0,100.0
2024-08,5,4,5,6100.0,6410.0,95.2,80.0
2024-08,6,4,5,6038.0,6410.0,94.2,80.0
2024-08,7,4,5,6038.0,6410.0,94.2,80.0
2024-08,8,4,5,6302.0,6410.0,98.3,80.0
2024-08,9,4,5,6778.0,6410.0,105.7,80.0
2024-08,10,4,5,6778.0,6410.0,105.7,80.0
2024-08,11,3,5,4578.0,6410.0,71.4,60.0
2024-08,12,3,5,4879.32,6410.0,76.1,60.0
2024-08,13,2,5,4220.88,6410.0,65.8,40.0
2024-08,14,2,5,4220.88,6410.0,65.8,40.0
2024-08,15,2,5,4220.88,6410.0,65.8,40.0
2024-08,16,2,5,4660.88,6410.0,72.7,40.0
2024-08,17,2,5,4660.88,6410.0,72.7,40.0
2024-08,18,2,5,4660.88,6410.0,72.7,40.0
2024-08,19,2,5,4660.88,6410.0,72.7,40.0
2024-08,20,1,5,3344.0,6410.0,52.2,20.0
2024-08,21,1,5,3344.0,6410.0,52.2,20.0
2024-08,22,1,5,3344.0,6410.0,52.2,20.0
2024-08,23,1,5,3344.0,6410.0,52.2,20.0
2024-08,24,1,5,3344.0,6410.0,52.2,20.0
2024-09,0,12,12,12582.0,12582.0,100.0,100.0
2024-09,1,12,12,12706.0,12582.0,101.0,100.0
2024-09,2,11,12,12148.0,12582.0,96.6,91.7
2024-09,3,11,12,12148.0,12582.0,96.6,91.7
2024-09,4,11,12,12086.0,12582.0,96.1,91.7
2024-09,5,11,12,12314.0,12582.0,97.9,91.7
2024-09,6,10,12,12004.0,12582.0,95.4,83.3
2024-09,7,10,12,12092.0,12582.0,96.1,83.3
2024-09,8,10,12,12092.0,12582.0,96.1,83.3
2024-09,9,10,12,12092.0,12582.0,96.1,83.3
2024-09,10,10,12,12092.0,12582.0,96.1,83.3
2024-09,11,10,12,12092.0,12582.0,96.1,83.3
2024-09,12,9,12,12175.0,12582.0,96.8,75.0
2024-09,13,10,12,13272.4,12582.0,105.5,83.3
2024-09,14,10,12,13008.4,12582.0,103.4,83.3
2024-09,15,10,12,13008.4,12582.0,103.4,83.3
2024-09,16,10,12,12935.24,12582.0,102.8,83.3
2024-09,17,10,12,12935.24,12582.0,102.8,83.3
2024-09,18,10,12,13375.24,12582.0,106.3,83.3
2024-09,19,10,12,13521.56,12582.0,107.5,83.3
2024-09,20,9,12,11145.56,12582.0,88.6,75.0
2024-09,21,9,12,11218.72,12582.0,89.2,75.0
2024-09,22,9,12,11218.72,12582.0,89.2,75.0
2024-09,23,9,12,11218.72,12582.0,89.2,75.0
2024-10,0,8,8,14608.0,14608.0,100.0,100.0
2024-10,1,8,8,14608.0,14608.0,100.0,100.0
2024-10,2,8,8,14608.0,14608.0,100.0,100.0
2024-10,3,8,8,14670.0,14608.0,100.4,100.0
2024-10,4,7,8,14174.0,14608.0,97.0,87.5
2024-10,5,7,8,14236.0,14608.0,97.5,87.5
2024-10,6,7,8,14236.0,14608.0,97.5,87.5
2024-10,7,7,8,14236.0,14608.0,97.5,87.5
2024-10,8,6,8,13492.0,14608.0,92.4,75.0
2024-10,9,6,8,13492.0,14608.0,92.4,75.0
2024-10,10,6,8,13492.0,14608.0,92.4,75.0
2024-10,11,6,8,13492.0,14608.0,92.4,75.0
2024-10,12,6,8,14222.16,14608.0,97.4,75.0
2024-10,13,6,8,14222.16,14608.0,97.4,75.0
2024-10,14,6,8,14339.84,14608.0,98.2,75.0
2024-10,15,6,8,14339.84,14608.0,98.2,75.0
2024-10,16,5,8,14370.56,14608.0,98.4,62.5
2024-10,17,5,8,14370.56,14608.0,98.4,62.5
2024-10,18,5,8,14370.56,14608.0,98.4,62.5
2024-10,19,5,8,14370.56,14608.0,98.4,62.5
2024-10,20,5,8,14370.56,14608.0,98.4,62.5
2024-10,21,5,8,14561.4,14608.0,99.7,62.5
2024-10,22,5,8,14561.4,14608.0,99.7,62.5
2024-11,0,7,7,9106.0,9106.0,100.0,100.0
2024-11,1,7,7,9432.0,9106.0,103.6,100.0
2024-11,2,7,7,9432.0,9106.0,103.6,100.0
2024-11,3,7,7,9344.0,9106.0,102.6,100.0
2024-11,4,7,7,9344.0,9106.0,102.6,100.0
2024-11,5,7,7,9344.0,9106.0,102.6,100.0
2024-11,6,7,7,9344.0,9106.0,102.6,100.0
2024-11,7,7,7,9696.0,9106.0,106.5,100.0
2024-11,8,7,7,9696.0,9106.0,106.5,100.0
2024-11,9,7,7,9696.0,9106.0,106.5,100.0
2024-11,10,7,7,9696.0,9106.0,106.5,100.0
2024-11,11,6,7,9448.0,9106.0,103.8,85.7
2024-11,12,6,7,9849.76,9106.0,108.2,85.7
2024-11,13,6,7,9849.76,9106.0,108.2,85.7
2024-11,14,6,7,9703.44,9106.0,106.6,85.7
2024-11,15,6,7,9703.44,9106.0,106.6,85.7
2024-11,16,5,7,8489.4,9106.0,93.2,71.4
2024-11,17,5,7,8489.4,9106.0,93.2,71.4
2024-11,18,5,7,8489.4,9106.0,93.2,71.4
2024-11,19,5,7,8562.56,9106.0,94.0,71.4
2024-11,20,5,7,8562.56,9106.0,94.0,71.4
2024-11,21,5,7,8562.56,9106.0,94.0,71.4
2024-12,0,8,8,6046.0,6046.0,100.0,100.0
2024-12,1,8,8,6108.0,6046.0,101.0,100.0
2024-12,2,7,8,5302.0,6046.0,87.7,87.5
2024-12,3,6,8,4806.0,6046.0,79.5,75.0
2024-12,4,6,8,4806.0,6046.0,79.5,75.0
2024-12,5,6,8,4806.0,6046.0,79.5,75.0
