policy,origin,method,horizon,actual,pred,err,ape
expanding,2025-05,drift,6,701693.54,631090.5599999999,-70602.9800000001,0.10061797063145272
expanding,2025-05,log_linear,1,578659.14,530990.0756480038,-47669.064351996174,0.08237848684459761
expanding,2025-05,log_linear,2,590750.04,545005.2711476709,-45744.768852329114,0.07743506687249503
expanding,2025-05,log_linear,3,611621.18,559390.3901429038,-52230.78985709627,0.08539728767583926
expanding,2025-05,log_linear,4,666924.5,574155.1965640421,-92769.30343595787,0.13910015816776541
expanding,2025-05,log_linear,5,686898.22,589309.7120550795,-97588.50794492045,0.1420712779615595
expanding,2025-05,log_linear,6,701693.54,604864.2227758791,-96829.31722412095,0.13799374186075725
expanding,2025-05,holt,1,578659.14,578964.7074828701,305.5674828700721,0.0005280612743282204
expanding,2025-05,holt,2,590750.04,608575.2744580952,17825.23445809516,0.03017390309122139
expanding,2025-05,holt,3,611621.18,638185.8414333203,26564.66143332026,0.04343319411096957
expanding,2025-05,holt,4,666924.5,667796.4084085454,871.9084085454233,0.0013073569925012851
expanding,2025-05,holt,5,686898.22,697406.9753837705,10508.755383770564,0.01529885371339376
expanding,2025-05,holt,6,701693.54,727017.5423589956,25324.00235899561,0.03608983254854478
expanding,2025-05,driver_nrr,1,578659.14,579229.9996382042,570.859638204216,0.0009865214229645039
expanding,2025-05,driver_nrr,2,590750.04,599958.9334598498,9208.893459849758,0.015588477082201733
expanding,2025-05,driver_nrr,3,611621.18,620671.0151764239,9049.83517642389,0.014796471202033732
expanding,2025-05,driver_nrr,4,666924.5,641366.2584882668,-25558.241511733155,0.03832254102485837
expanding,2025-05,driver_nrr,5,686898.22,662044.6770845808,-24853.54291541921,0.03618227881769618
expanding,2025-05,driver_nrr,6,701693.54,682706.2846434388,-18987.255356561276,0.02705918506327032
expanding,2025-06,naive,1,590750.04,578659.14,-12090.900000000023,0.020467032046244164
expanding,2025-06,naive,2,611621.18,578659.14,-32962.04000000004,0.05389290148519715
expanding,2025-06,naive,3,666924.5,578659.14,-88265.35999999999,0.13234685485388523
expanding,2025-06,naive,4,686898.22,578659.14,-108239.07999999996,0.15757659118697376
expanding,2025-06,naive,5,701693.54,578659.14,-123034.40000000002,0.17533922287498901
expanding,2025-06,naive,6,741832.2,578659.14,-163173.05999999994,0.21995952723540438
expanding,2025-06,drift,1,590750.04,591144.6704761905,394.63047619047575,0.0006680159957170307
expanding,2025-06,drift,2,611621.18,603630.200952381,-7990.979047619039,0.01306524252090001
expanding,2025-06,drift,3,666924.5,616115.7314285714,-50808.768571428605,0.07618368881549352
expanding,2025-06,drift,4,686898.22,628601.2619047619,-58296.95809523808,0.08486986339146152
expanding,2025-06,drift,5,701693.54,641086.7923809524,-60606.747619047645,0.08637210429363172
expanding,2025-06,drift,6,741832.2,653572.3228571429,-88259.87714285706,0.11897552727268655
expanding,2025-06,log_linear,1,590750.04,553591.1535634315,-37158.88643656857,0.06290120003473647
expanding,2025-06,log_linear,2,611621.18,568782.4194927475,-42838.76050725253,0.07004132935234933
expanding,2025-06,log_linear,3,666924.5,584390.5536452094,-82533.94635479059,0.12375305803699008
expanding,2025-06,log_linear,4,686898.22,600426.9954305592,-86471.22456944082,0.12588651717490376
expanding,2025-06,log_linear,5,701693.54,616903.4981709173,-84790.04182908277,0.12083628677710609
expanding,2025-06,log_linear,6,741832.2,633832.1377149484,-108000.06228505156,0.14558556811776513
expanding,2025-06,holt,1,590750.04,608233.0388772808,17482.99887728074,0.029594579252640828
expanding,2025-06,holt,2,611621.18,637715.2675097005,26094.087509700446,0.04266380623002697
expanding,2025-06,holt,3,666924.5,667197.4961421201,272.99614212010056,0.00040933590251985126
expanding,2025-06,holt,4,686898.22,696679.7247745398,9781.504774539848,0.014240107907893325
expanding,2025-06,holt,5,701693.54,726161.9534069595,24468.413406959502,0.03487051257014494
expanding,2025-06,holt,6,741832.2,755644.1820393793,13811.982039379305,0.01861874159598263
expanding,2025-06,driver_nrr,1,590750.04,601674.7336096789,10924.693609678885,0.01849292064318588
expanding,2025-06,driver_nrr,2,611621.18,624688.0439370956,13066.863937095506,0.02136430909259144
expanding,2025-06,driver_nrr,3,666924.5,647699.071208765,-19225.42879123497,0.028826994346788832
expanding,2025-06,driver_nrr,4,686898.22,670707.8156511799,-16190.404348820099,0.0235703105313333
expanding,2025-06,driver_nrr,5,701693.54,693714.2774908101,-7979.262509189895,0.011371435041556596
expanding,2025-06,driver_nrr,6,741832.2,716718.4569541035,-25113.743045896408,0.03385367074372939
expanding,2025-07,naive,1,611621.18,590750.04,-20871.140000000014,0.0341242924255828
expanding,2025-07,naive,2,666924.5,590750.04,-76174.45999999996,0.1142175163755417
expanding,2025-07,naive,3,686898.22,590750.04,-96148.17999999993,0.13997442008220656
expanding,2025-07,naive,4,701693.54,590750.04,-110943.5,0.15810819635021864
expanding,2025-07,naive,5,741832.2,590750.04,-151082.15999999992,0.20366082787994363
expanding,2025-07,naive,6,790963.62,590750.04,-200213.57999999996,0.25312615515742676
expanding,2025-07,drift,1,611621.18,603217.6327272728,-8403.547272727243,0.013739791144458474
expanding,2025-07,drift,2,666924.5,615685.2254545455,-51239.27454545454,0.07682919812580664
expanding,2025-07,drift,3,686898.22,628152.8181818182,-58745.40181818174,0.08552271662340563
expanding,2025-07,drift,4,701693.54,640620.410909091,-61073.12909090903,0.0870367555199511
expanding,2025-07,drift,5,741832.2,653088.0036363637,-88744.19636363629,0.11962839623790433
expanding,2025-07,drift,6,790963.62,665555.5963636364,-125408.02363636356,0.1585509376984539
expanding,2025-07,log_linear,1,611621.18,575245.26749929,-36375.912500709994,0.05947457951130795
expanding,2025-07,log_linear,2,666924.5,591448.2593008335,-75476.24069916655,0.11317059232216922
expanding,2025-07,log_linear,3,686898.22,608107.6424160535,-78790.57758394652,0.11470487954379402
expanding,2025-07,log_linear,4,701693.54,625236.2720653801,-76457.26793461991,0.10896105432952954
expanding,2025-07,log_linear,5,741832.2,642847.3655635369,-98984.83443646308,0.13343291708888222
expanding,2025-07,log_linear,6,790963.62,660954.5125186953,-130009.10748130467,0.1643679989748513
expanding,2025-07,holt,1,611621.18,612961.4026247564,1340.2226247563958,0.0021912626125151448
expanding,2025-07,holt,2,666924.5,633855.4659775993,-33069.03402240074,0.04958437427684954
expanding,2025-07,holt,3,686898.22,654749.5293304421,-32148.690669557895,0.046802699051335286
expanding,2025-07,holt,4,701693.54,675643.5926832848,-26049.94731671526,0.03712439381544721
expanding,2025-07,holt,5,741832.2,696537.6560361276,-45294.54396387236,0.06105766770958765
expanding,2025-07,holt,6,790963.62,717431.7193889704,-73531.90061102959,0.09296495913557894
expanding,2025-07,driver_nrr,1,611621.18,613018.6282229983,1397.4482229982968,0.002284826406760957
expanding,2025-07,driver_nrr,2,666924.5,635219.8203081291,-31704.67969187093,0.047538633971118065
expanding,2025-07,driver_nrr,3,686898.22,657353.8202305771,-29544.39976942283,0.04301132090489743
expanding,2025-07,driver_nrr,4,701693.54,679420.8313481942,-22272.70865180588,0.03174136197948449
expanding,2025-07,driver_nrr,5,741832.2,701421.0564033668,-40411.143596633105,0.05447477690592712
expanding,2025-07,driver_nrr,6,790963.62,723354.6975248798,-67608.92247512017,0.08547665248512969
expanding,2025-08,naive,1,666924.5,611621.18,-55303.31999999995,0.08292290956472577
expanding,2025-08,naive,2,686898.22,611621.18,-75277.03999999992,0.10958980211071143
expanding,2025-08,naive,3,701693.54,611621.18,-90072.35999999999,0.1283642428858615
expanding,2025-08,naive,4,741832.2,611621.18,-130211.0199999999,0.17552624434474523
expanding,2025-08,naive,5,790963.62,611621.18,-179342.43999999994,0.22673917670195748
expanding,2025-08,naive,6,841882.84,611621.18,-230261.65999999992,0.2735079622242923
expanding,2025-08,drift,1,666924.5,624454.1443478261,-42470.355652173865,0.06368090488829525
expanding,2025-08,drift,2,686898.22,637287.1086956522,-49611.11130434775,0.07222483602351998
expanding,2025-08,drift,3,701693.54,650120.0730434783,-51573.466956521734,0.07349856314271004
expanding,2025-08,drift,4,741832.2,662953.0373913044,-78879.16260869557,0.10633019516906327
expanding,2025-08,drift,5,790963.62,675786.0017391305,-115177.61826086952,0.14561683413564525
expanding,2025-08,drift,6,841882.84,688618.9660869566,-153263.8739130434,0.18204893440166023
expanding,2025-08,log_linear,1,666924.5,597523.5155107662,-69400.98448923382,0.10406123105274108
expanding,2025-08,log_linear,2,686898.22,614730.8375070185,-72167.3824929815,0.10506270127324177
expanding,2025-08,log_linear,3,701693.54,632433.6913486236,-69259.84865137644,0.0987038424942268
expanding,2025-08,log_linear,4,741832.2,650646.3472288057,-91185.8527711943,0.12291978262900197
expanding,2025-08,log_linear,5,790963.62,669383.4862899887,-121580.13371001126,0.1537114105323975
expanding,2025-08,log_linear,6,841882.84,688660.2124581963,-153222.62754180364,0.18199994139541276
expanding,2025-08,holt,1,666924.5,632227.0954885201,-34697.404511479894,0.0520259857172437
expanding,2025-08,holt,2,686898.22,652698.9887145646,-34199.23128543538,0.0497879165932842
expanding,2025-08,holt,3,701693.54,673170.8819406092,-28522.658059390844,0.04064831216686254
expanding,2025-08,holt,4,741832.2,693642.7751666537,-48189.424833346275,0.06496000690364516
expanding,2025-08,holt,5,790963.62,714114.6683926982,-76848.95160730183,0.09715864252682295
expanding,2025-08,holt,6,841882.84,734586.5616187428,-107296.2783812572,0.1274479930975398
expanding,2025-08,driver_nrr,1,666924.5,633339.243526773,-33585.256473227055,0.050358408595316345
expanding,2025-08,driver_nrr,2,686898.22,655064.8253834238,-31833.394616576144,0.046343684827973707
expanding,2025-08,driver_nrr,3,701693.54,676797.928172638,-24895.61182736198,0.035479323106440426
expanding,2025-08,driver_nrr,4,741832.2,698538.5544980019,-43293.64550199802,0.058360429086251615
expanding,2025-08,driver_nrr,5,790963.62,720286.706964003,-70676.91303599696,0.08935545358710298
expanding,2025-08,driver_nrr,6,841882.84,742042.3881760305,-99840.45182396949,0.1185918599124428
expanding,2025-09,naive,1,686898.22,666924.5,-19973.719999999972,0.029078136204807713
expanding,2025-09,naive,2,701693.54,666924.5,-34769.04000000004,0.0495501782729823
expanding,2025-09,naive,3,741832.2,666924.5,-74907.69999999995,0.10097660899594268
expanding,2025-09,naive,4,790963.62,666924.5,-124039.12,0.15682025931862706
expanding,2025-09,naive,5,841882.84,666924.5,-174958.33999999997,0.20781791917744752
expanding,2025-09,naive,6,859142.06,666924.5,-192217.56000000006,0.2237319867682884
expanding,2025-09,drift,1,686898.22,681527.0625,-5371.157499999972,0.007819437208615816
expanding,2025-09,drift,2,701693.54,696129.625,-5563.915000000037,0.007929266386006684
expanding,2025-09,drift,3,741832.2,710732.1875,-31100.012499999953,0.04192324423232094
expanding,2025-09,drift,4,790963.62,725334.75,-65628.87,0.08297331045389925
expanding,2025-09,drift,5,841882.84,739937.3125,-101945.52749999997,0.12109229771211392
expanding,2025-09,drift,6,859142.06,754539.875,-104602.18500000006,0.1217519079440716
expanding,2025-09,log_linear,1,686898.22,625634.1794850492,-61264.04051495076,0.08918940059991823
expanding,2025-09,log_linear,2,701693.54,644304.2154898979,-57389.32451010216,0.0817868787991153
expanding,2025-09,log_linear,3,741832.2,663531.3985558454,-78300.80144415458,0.10555055637131225
expanding,2025-09,log_linear,4,790963.62,683332.3549415442,-107631.26505845576,0.13607612580014206
expanding,2025-09,log_linear,5,841882.84,703724.207062759,-138158.632937241,0.16410672171111243
expanding,2025-09,log_linear,6,859142.06,724724.58829858,-134417.47170142003,0.1564554664003064
expanding,2025-09,holt,1,686898.22,683513.2096402331,-3385.010359766893,0.004927964960757787
expanding,2025-09,holt,2,701693.54,713890.9667669217,12197.42676692165,0.017382840330725645
expanding,2025-09,holt,3,741832.2,744268.7238936102,2436.523893610225,0.0032844676917640203
expanding,2025-09,holt,4,790963.62,774646.4810202988,-16317.138979701209,0.02062944308323714
expanding,2025-09,holt,5,841882.84,805024.2381469873,-36858.60185301269,0.04378115350707551
expanding,2025-09,holt,6,859142.06,835401.9952736758,-23740.064726324286,0.0276322925295082
expanding,2025-09,driver_nrr,1,686898.22,694583.9688411584,7685.748841158464,0.011189065013385046
expanding,2025-09,driver_nrr,2,701693.54,722268.0092394442,20574.469239444123,0.02932116097213054
expanding,2025-09,driver_nrr,3,741832.2,749976.643023238,8144.443023238098,0.010978821117818961
expanding,2025-09,driver_nrr,4,790963.62,777709.8920403124,-13253.727959687589,0.01675643180616523
expanding,2025-09,driver_nrr,5,841882.84,805467.7781578483,-36415.061842151685,0.04325431059047561
expanding,2025-09,driver_nrr,6,859142.06,833250.3232624525,-25891.73673754756,0.030136735172233982
expanding,2025-10,naive,1,701693.54,686898.22,-14795.320000000065,0.021085159199271043
expanding,2025-10,naive,2,741832.2,686898.22,-54933.97999999998,0.07405175995326164
expanding,2025-10,naive,3,790963.62,686898.22,-104065.40000000002,0.131567871604512
expanding,2025-10,naive,4,841882.84,686898.22,-154984.62,0.18409286023694224
expanding,2025-10,naive,5,859142.06,686898.22,-172243.84000000008,0.20048353819390483
expanding,2025-10,naive,6,889938.42,686898.22,-203040.20000000007,0.22815084216725923
expanding,2025-10,drift,1,701693.54,701715.6288,22.088799999910407,3.1479269425667514e-05
expanding,2025-10,drift,2,741832.2,716533.0375999999,-25299.16240000003,0.03410361858112931
expanding,2025-10,drift,3,790963.62,731350.4464,-59613.17359999998,0.07536778189621411
expanding,2025-10,drift,4,841882.84,746167.8552,-95714.98479999998,0.11369157352108517
expanding,2025-10,drift,5,859142.06,760985.264,-98156.79600000009,0.11424978541965468
expanding,2025-10,drift,6,889938.42,775802.6728,-114135.7472000001,0.1282512864204695
expanding,2025-10,log_linear,1,701693.54,653631.2495628311,-48062.29043716891,0.06849470274041415
expanding,2025-10,log_linear,2,741832.2,673674.4581271551,-68157.74187284487,0.09187757268132184
expanding,2025-10,log_linear,3,790963.62,694332.2796094214,-96631.34039057861,0.122169133885802
expanding,2025-10,log_linear,4,841882.84,715623.56074456,-126259.27925544,0.14997250597890793
expanding,2025-10,log_linear,5,859142.06,737567.7261912698,-121574.33380873024,0.14150667214305657
expanding,2025-10,log_linear,6,889938.42,760184.7962537145,-129753.62374628556,0.14580067657522366
expanding,2025-10,holt,1,701693.54,716598.9750547351,14905.435054735048,0.021242086758750903
expanding,2025-10,holt,2,741832.2,747992.2352893536,6160.035289353691,0.008303812222432096
expanding,2025-10,holt,3,790963.62,779385.4955239722,-11578.124476027791,0.014637998743896452
expanding,2025-10,holt,4,841882.84,810778.7557585909,-31104.084241409088,0.036945858453902074
expanding,2025-10,holt,5,859142.06,842172.0159932094,-16970.044006790617,0.019752314310849377
expanding,2025-10,holt,6,889938.42,873565.276227828,-16373.143772172043,0.018398063735884155
expanding,2025-10,driver_nrr,1,701693.54,715912.8354446186,14219.295444618561,0.02026425303077261
expanding,2025-10,driver_nrr,2,741832.2,744978.6436667215,3146.4436667215778,0.004241449301771449
expanding,2025-10,driver_nrr,3,790963.62,774095.7349897692,-16867.88501023082,0.021325740632964663
expanding,2025-10,driver_nrr,4,841882.84,803264.1998965866,-38618.640103413374,0.04587175111374568
expanding,2025-10,driver_nrr,5,859142.06,832484.1290296449,-26657.93097035517,0.03102854837575426
expanding,2025-10,driver_nrr,6,889938.42,861755.6131913428,-28182.806808657246,0.03166826622527123
expanding,2025-11,naive,1,741832.2,701693.54,-40138.659999999916,0.05410746527314387
expanding,2025-11,naive,2,790963.62,701693.54,-89270.07999999996,0.11286243481084497
expanding,2025-11,naive,3,841882.84,701693.54,-140189.29999999993,0.1665187759379915
expanding,2025-11,naive,4,859142.06,701693.54,-157448.52000000002,0.18326249793893226
expanding,2025-11,naive,5,889938.42,701693.54,-188244.88,0.21152573680322734
expanding,2025-11,naive,6,925608.14,701693.54,-223914.59999999998,0.241910793913286
expanding,2025-11,drift,1,741832.2,716510.0992307693,-25322.10076923063,0.03413453981807561
expanding,2025-11,drift,2,790963.62,731326.6584615385,-59636.9615384615,0.07539785652652584
expanding,2025-11,drift,3,841882.84,746143.2176923078,-95739.62230769219,0.11372083829110022
expanding,2025-11,drift,4,859142.06,760959.776923077,-98182.28307692311,0.11427945115028253
expanding,2025-11,drift,5,889938.42,775776.3361538462,-114162.08384615381,0.12828088020534478
expanding,2025-11,drift,6,925608.14,790592.8953846154,-135015.2446153846,0.14586652686025925
expanding,2025-11,log_linear,1,741832.2,680793.2140190864,-61038.98598091351,0.08228139191169312
expanding,2025-11,log_linear,2,790963.62,702064.5647389607,-88899.05526103929,0.11239335541252743
expanding,2025-11,log_linear,3,841882.84,724000.5377731168,-117882.30222688313,0.14002221761270622
expanding,2025-11,log_linear,4,859142.06,746621.899213301,-112520.16078669904,0.13096805060003586
expanding,2025-11,log_linear,5,889938.42,769950.0639867818,-119988.35601321829,0.13482770640829092
expanding,2025-11,log_linear,6,925608.14,794007.1161291879,-131601.02387081215,0.14217790248777645
expanding,2025-11,holt,1,741832.2,736067.8872455657,-5764.312754434301,0.007770372807265984
expanding,2025-11,holt,2,790963.62,762989.5169637636,-27974.103036236367,0.035367117183261056
expanding,2025-11,holt,3,841882.84,789911.1466819617,-51971.69331803825,0.06173269111654331
expanding,2025-11,holt,4,859142.06,816832.7764001598,-42309.283599840244,0.04924596940329082
expanding,2025-11,holt,5,889938.42,843754.4061183578,-46184.013881642255,0.05189574114762036
expanding,2025-11,holt,6,925608.14,870676.0358365559,-54932.104163444135,0.05934704092321847
expanding,2025-11,driver_nrr,1,741832.2,725024.0440118763,-16808.155988123617,0.022657625252885515
expanding,2025-11,driver_nrr,2,790963.62,748398.4698894132,-42565.15011058678,0.05381429566961219
expanding,2025-11,driver_nrr,3,841882.84,771816.9003196491,-70065.93968035083,0.08322528545700116
expanding,2025-11,driver_nrr,4,859142.06,795279.4181452887,-63862.64185471134,0.07433304086487319
expanding,2025-11,driver_nrr,5,889938.42,818786.1063649958,-71152.31363500422,0.07995195177100481
expanding,2025-11,driver_nrr,6,925608.14,842337.0481336869,-83271.09186631313,0.08996365553387757
expanding,2025-12,naive,1,790963.62,741832.2,-49131.42000000004,0.06211590363663002
expanding,2025-12,naive,2,841882.84,741832.2,-100050.64000000001,0.11884152431471345
expanding,2025-12,naive,3,859142.06,741832.2,-117309.8600000001,0.13654302991521577
expanding,2025-12,naive,4,889938.42,741832.2,-148106.2200000001,0.16642299812160047
expanding,2025-12,naive,5,925608.14,741832.2,-183775.94000000006,0.19854615798862796
expanding,2025-12,naive,6,968801.82,741832.2,-226969.62,0.23427868870023386
expanding,2025-12,drift,1,790963.62,757586.6148148148,-33377.00518518523,0.04219790182661654
expanding,2025-12,drift,2,841882.84,773341.0296296296,-68541.8103703704,0.08141490372979975
expanding,2025-12,drift,3,859142.06,789095.4444444444,-70046.61555555568,0.08153088856522246
